Date,Average_PM2.5,season
2020_01_01,21.358012170385397,winter
2020_01_02,22.829614604462478,winter
2020_01_03,26.643171061528058,winter
2020_01_04,34.07843137254902,winter
2020_01_05,39.93120351588911,winter
2020_01_06,44.82386747802569,winter
2020_01_07,49.14283299526707,winter
2020_01_08,50.51031102096011,winter
2020_01_09,51.210277214334006,winter
2020_01_10,61.35682893847193,winter
2020_01_11,44.680020283975665,winter
2020_01_12,40.756423258958755,winter
2020_01_13,43.10480054090602,winter
2020_01_14,41.28144016227181,winter
2020_01_15,41.947599729546994,winter
2020_01_16,44.01521298174442,winter
2020_01_17,47.38133874239351,winter
2020_01_18,55.40956727518593,winter
2020_01_19,55.491379310344826,winter
2020_01_20,55.86832319134551,winter
2020_01_21,49.73005409060176,winter
2020_01_22,43.32048681541582,winter
2020_01_23,40.450642325895885,winter
2020_01_24,33.56102096010818,winter
2020_01_25,31.804428668018932,winter
2020_01_26,29.4131169709263,winter
2020_01_27,38.578769438810006,winter
2020_01_28,38.82691007437458,winter
2020_01_29,39.05645706558486,winter
2020_01_30,42.72244759972955,winter
2020_01_31,45.3159229208925,winter
2020_02_01,54.847194050033806,summer
2020_02_02,58.123901284651794,summer
2020_02_03,53.00498647734956,summer
2020_02_04,45.90906017579446,summer
2020_02_05,38.380831643002026,summer
2020_02_06,33.7895537525355,summer
2020_02_07,36.709939148073026,summer
2020_02_08,42.808316430020284,summer
2020_02_09,43.8209939148073,summer
2020_02_10,38.4553752535497,summer
2020_02_11,45.182724814063555,summer
2020_02_12,39.47261663286004,summer
2020_02_13,21.850405679513184,summer
2020_02_14,19.8921568627451,summer
2020_02_15,26.385480054090603,summer
2020_02_16,31.326741041244084,summer
2020_02_17,33.7787356321839,summer
2020_02_18,38.43086544962813,summer
2020_02_19,46.553752535496955,summer
2020_02_20,56.19945909398242,summer
2020_02_21,50.94337390128465,summer
2020_02_22,46.52400270453008,summer
2020_02_23,47.1027721433401,summer
2020_02_24,57.905848546315084,summer
2020_02_25,63.97447599729546,summer
2020_02_26,51.0868830290737,summer
2020_02_27,51.75557809330629,summer
2020_02_28,42.96365787694388,summer
2020_03_01,37.073022312373226,summer
2020_03_02,38.20436105476673,summer
2020_03_03,31.415314401622723,summer
2020_03_04,24.426470588235293,summer
2020_03_05,22.441176470588236,summer
2020_03_06,21.014705882352942,summer
2020_03_07,24.13235294117647,summer
2020_03_08,31.13235294117647,summer
2020_03_09,41.10294117647059,summer
2020_03_10,46.23529411764706,summer
