Date,Average_PM2.5,season
2021_01_01,21.877705627705627,winter
2021_01_02,26.129599567099564,winter
2021_01_03,34.109577922077925,winter
2021_01_04,30.73241341991342,winter
2021_01_05,33.20752164502164,winter
2021_01_06,33.06872294372294,winter
2021_01_07,30.20427489177489,winter
2021_01_08,22.64042207792208,winter
2021_01_09,19.83306277056277,winter
2021_01_10,25.8008658008658,winter
2021_01_11,27.140151515151512,winter
2021_01_12,25.62581168831169,winter
2021_01_13,38.808712121212125,winter
2021_01_14,54.309388528138534,winter
2021_01_15,60.47077922077922,winter
2021_01_16,53.72132034632035,winter
2021_01_17,44.13798701298701,winter
2021_01_18,33.19291125541125,winter
2021_01_19,43.21320346320346,winter
2021_01_20,54.15827922077922,winter
2021_01_21,61.21482683982684,winter
2021_01_22,67.60633116883118,winter
2021_01_23,57.556006493506494,winter
2021_01_24,41.29220779220779,winter
2021_01_25,37.31412337662338,winter
2021_01_26,38.22700216450216,winter
2021_01_27,39.135822510822514,winter
2021_01_28,38.43364448051948,winter
2021_01_29,37.78395562770563,winter
2021_01_30,42.77651515151515,winter
2021_01_31,43.45596590909091,winter
2021_02_01,49.06655844155844,summer
2021_02_02,46.02137445887446,summer
2021_02_03,46.8633658008658,summer
2021_02_04,44.36904761904762,summer
2021_02_05,45.58820346320346,summer
2021_02_06,48.12959956709957,summer
2021_02_07,51.11525974025974,summer
2021_02_08,35.57683982683982,summer
2021_02_09,24.301948051948052,summer
2021_02_10,21.48187229437229,summer
2021_02_11,27.104707792207794,summer
2021_02_12,32.4025974025974,summer
2021_02_13,34.91179653679654,summer
2021_02_14,34.85551948051948,summer
2021_02_15,35.9607683982684,summer
2021_02_16,37.563311688311686,summer
2021_02_17,38.79816017316018,summer
2021_02_18,40.09415584415584,summer
2021_02_19,36.082251082251084,summer
2021_02_20,38.80357142857143,summer
2021_02_21,50.96130952380952,summer
2021_02_22,48.22159090909091,summer
2021_02_23,46.39448051948052,summer
2021_02_24,48.105248917748916,summer
2021_02_25,47.02651515151515,summer
2021_02_26,49.23593073593074,summer
2021_02_27,54.08658008658009,summer
2021_02_28,55.76975108225109,summer
2021_03_01,43.76623376623377,summer
2021_03_02,38.36796536796537,summer
2021_03_03,31.621212121212118,summer
2021_03_04,27.026785714285715,summer
2021_03_05,28.497023809523807,summer
2021_03_06,33.830357142857146,summer
2021_03_07,40.63419913419913,summer
2021_03_08,41.198593073593074,summer
2021_03_09,40.672077922077925,summer
2021_03_10,43.9258658008658,summer
2021_03_11,45.82981601731602,summer
2021_03_12,42.57656926406926,summer
2021_03_13,42.6758658008658,summer
2021_03_14,40.02922077922078,summer
2021_03_15,38.551406926406926,summer
2021_03_16,40.55654761904762,summer
2021_03_17,42.97862554112554,summer
2021_03_18,48.47835497835498,summer
2021_03_19,46.46969696969697,summer
2021_03_20,45.89502164502164,summer
2021_03_21,38.57224025974026,summer
2021_03_22,36.727205086580085,summer
2021_03_23,31.556277056277057,summer
2021_03_24,41.685064935064936,summer
2021_03_25,41.23647186147186,summer
2021_03_26,33.157738095238095,summer
2021_03_27,33.09713203463204,summer
2021_03_28,33.912067099567096,summer
2021_03_29,32.140151515151516,summer
2021_03_30,39.50703463203463,summer
2021_03_31,45.19642857142857,summer
2021_04_01,41.16585497835498,summer
2021_04_02,36.508116883116884,summer
2021_04_03,36.390151515151516,summer
2021_04_04,28.55330086580087,summer
2021_04_05,28.273538961038962,summer
2021_04_06,23.46286525974026,summer
2021_04_07,21.384199134199132,summer
2021_04_08,23.725108225108226,summer
2021_04_09,23.22537878787879,summer
2021_04_10,26.3125,summer
2021_04_11,24.577380952380953,summer
2021_04_12,24.01352813852814,summer
2021_04_13,20.58116883116883,summer
2021_04_14,18.695616883116884,summer
2021_04_15,19.85524891774892,summer
2021_04_16,20.02462121212121,summer
2021_04_17,17.644209956709958,summer
2021_04_18,14.675595238095237,summer
2021_04_19,12.355248917748916,summer
