Date,Average_PM2.5,season
2018_01_01,20.439353099730464,winter
2018_01_02,24.807277628032338,winter
2018_01_03,30.138454627133882,winter
2018_01_04,35.215633423180606,winter
2018_01_05,40.43930817610061,winter
2018_01_06,39.68504043126685,winter
2018_01_07,24.582030548068275,winter
2018_01_08,24.035804132973944,winter
2018_01_09,21.751123090745732,winter
2018_01_10,20.102515723270443,winter
2018_01_11,26.39245283018867,winter
2018_01_12,25.79856244384547,winter
2018_01_13,32.73023360287511,winter
2018_01_14,36.6839173405211,winter
2018_01_15,40.399550763701704,winter
2018_01_16,48.08580413297392,winter
2018_01_17,61.20413297394428,winter
2018_01_18,50.64415992812221,winter
2018_01_19,46.115094339622615,winter
2018_01_20,41.37569631626236,winter
2018_01_21,53.91594788858942,winter
2018_01_22,55.16707097933514,winter
2018_01_23,43.72677448337824,winter
2018_01_24,43.27030548068283,winter
2018_01_25,32.42304582210244,winter
2018_01_26,27.49267744833783,winter
2018_01_27,23.16001796945193,winter
2018_01_28,22.842093441150045,winter
2018_01_29,22.468283917340525,winter
2018_01_30,21.633243486073674,winter
2018_01_31,25.656648697214727,winter
2018_02_01,29.6570530098832,summer
2018_02_02,40.76693620844566,summer
2018_02_03,44.29371069182392,summer
2018_02_04,52.05053908355793,summer
2018_02_05,57.75085354896678,summer
2018_02_06,56.91096136567838,summer
2018_02_07,66.34883198562446,summer
2018_02_08,63.787511230907455,summer
2018_02_09,54.09415992812218,summer
2018_02_10,48.515139263252465,summer
2018_02_11,48.122731356693635,summer
2018_02_12,49.75759209344114,summer
2018_02_13,46.39110512129379,summer
2018_02_14,57.89999999999999,summer
2018_02_15,54.98831985624438,summer
2018_02_16,45.28571428571428,summer
2018_02_17,44.10116801437556,summer
2018_02_18,44.97345013477089,summer
2018_02_19,45.55849056603773,summer
2018_02_20,35.23688230008984,summer
2018_02_21,29.47124887690926,summer
2018_02_22,27.779200359389034,summer
2018_02_23,24.74725965858041,summer
2018_02_24,30.24052111410602,summer
2018_02_25,32.00790655884997,summer
2018_02_26,33.8708445642408,summer
2018_02_27,29.021653189577716,summer
2018_02_28,36.59132973944294,summer
2018_03_01,35.805166217430376,summer
2018_03_02,35.274393530997294,summer
2018_03_03,31.074034141958677,summer
2018_03_04,30.743665768194074,summer
2018_03_05,40.49294699011679,summer
2018_03_06,38.270350404312666,summer
2018_03_07,36.212353998203064,summer
2018_03_08,39.29308176100628,summer
2018_03_09,33.376370170709805,summer
2018_03_10,35.81558849955076,summer
2018_03_11,50.727672955974825,summer
2018_03_12,59.71338724168911,summer
2018_03_13,42.10867026055704,summer
2018_03_14,38.44982030548068,summer
2018_03_15,37.309658580413284,summer
2018_03_16,39.64923629829291,summer
2018_03_17,34.996316262353986,summer
2018_03_18,34.52026055705301,summer
2018_03_19,32.55179694519318,summer
2018_03_20,37.80467205750224,summer
2018_03_21,42.18814016172507,summer
2018_03_22,43.98602875112307,summer
2018_03_23,47.453683737645996,summer
2018_03_24,51.84222821203953,summer
2018_03_25,48.74281221922732,summer
2018_03_26,45.039667565139254,summer
2018_03_27,45.727538185085365,summer
2018_03_28,43.02017070979334,summer
2018_03_29,44.68405211141061,summer
2018_03_30,44.47084456424079,summer
2018_03_31,39.996316262354,summer
