Date,Average_PM2.5,season
2022_01_01,19.226010018393715,winter
2022_01_02,18.925701760125627,winter
2022_01_03,21.276974416017797,winter
2022_01_04,24.998304216013423,winter
2022_01_05,28.976200862250717,winter
2022_01_06,31.774913302362098,winter
2022_01_07,31.982664107541428,winter
2022_01_08,29.59098562673123,winter
2022_01_09,31.78333587791811,winter
2022_01_10,33.88192763200942,winter
2022_01_11,32.42579990839494,winter
2022_01_12,31.049550335521683,winter
2022_01_13,30.469692177946442,winter
2022_01_14,28.924429922135705,winter
2022_01_15,32.07582317316991,winter
2022_01_16,31.744845398300228,winter
2022_01_17,34.25909143783579,winter
2022_01_18,31.10826072178964,winter
2022_01_19,24.734218576195772,winter
2022_01_20,27.596481566300955,winter
2022_01_21,21.500247188233836,winter
2022_01_22,20.016244901742677,winter
2022_01_23,20.38705815103201,winter
2022_01_24,23.630308367321717,winter
2022_01_25,26.809036274873314,winter
2022_01_26,27.053353278031018,winter
2022_01_27,28.746833809534195,winter
2022_01_28,30.41591964928351,winter
2022_01_29,29.32735598256112,winter
2022_01_30,26.35018514883397,winter
2022_01_31,25.732109751575823,winter
2022_02_01,24.211920289064828,summer
2022_02_02,20.110576748311484,summer
2022_02_03,20.041302245777807,summer
2022_02_04,23.415885115633206,summer
2022_02_05,24.38161682915658,summer
2022_02_06,27.628036234886984,summer
2022_02_07,37.47343817022544,summer
2022_02_08,38.381540491613784,summer
2022_02_09,29.93260667262828,summer
2022_02_10,26.918444240877662,summer
2022_02_11,29.774513439042646,summer
2022_02_12,29.249638305451946,summer
2022_02_13,28.836039680981763,summer
2022_02_14,26.15563952685263,summer
2022_02_15,26.291253171643135,summer
2022_02_16,29.51703599496898,summer
2022_02_17,25.85081281307481,summer
2022_02_18,18.35488960137262,summer
2022_02_19,12.945424109577095,summer
2022_02_20,11.707387293070731,summer
2022_02_21,15.580445229630596,summer
2022_02_22,21.05101710687983,summer
2022_02_23,26.622343635266486,summer
2022_02_24,27.18373537772544,summer
2022_02_25,30.972809294277592,summer
2022_02_26,35.50953310504772,summer
2022_02_27,39.47881269675092,summer
2022_02_28,46.838497022835824,summer
2022_03_01,42.88969406820941,summer
2022_03_02,34.52054830089249,summer
2022_03_03,33.69920281794587,summer
2022_03_04,35.611011145281246,summer
2022_03_05,37.05046275091424,summer
2022_03_06,32.73872930707322,summer
2022_03_07,27.906239321831805,summer
2022_03_08,23.428875220833607,summer
2022_03_09,35.31951623808588,summer
2022_03_10,31.84424596683316,summer
2022_03_11,30.812351777937714,summer
2022_03_12,34.94211360480417,summer
2022_03_13,37.32312227820308,summer
2022_03_14,36.39769133459836,summer
2022_03_15,30.45901837190197,summer
2022_03_16,25.363863261285232,summer
2022_03_17,26.5885806306208,summer
2022_03_18,26.363537554435936,summer
2022_03_19,25.789252037485358,summer
2022_03_20,24.468705242571627,summer
2022_03_21,16.410806851476224,summer
2022_03_22,14.283043250670676,summer
2022_03_23,15.568229405221484,summer
2022_03_24,16.327460795219093,summer
2022_03_25,19.165445265981813,summer
2022_03_26,20.35310475691945,summer
2022_03_27,23.16416025067795,summer
2022_03_28,24.08849884039637,summer
2022_03_29,21.311170000072707,summer
2022_03_30,23.27541494907195,summer
2022_03_31,28.336817596894154,summer
2022_04_01,24.870266163565905,summer
2022_04_02,14.641998734977859,summer
2022_04_03,12.029729837800899,summer
2022_04_04,22.188695500447125,summer
2022_04_05,29.877429896689858,summer
2022_04_06,36.60552756512319,summer
2022_04_07,41.73638247290018,summer
2022_04_08,54.16551833191562,summer
2022_04_09,64.07301322457052,summer
2022_04_10,60.70175649050869,summer
2022_04_11,50.90470711829411,summer
2022_04_12,45.47632809148874,summer
2022_04_13,42.58396148225698,summer
2022_04_14,40.588915061760716,summer
2022_04_15,38.34166866598326,summer
2022_04_16,36.109486211985725,summer
2022_04_17,31.33653587501001,summer
2022_04_18,23.619159269195265,summer
2022_04_19,21.11918289748232,summer
2022_04_20,29.01475677404815,summer
2022_04_21,24.39028477538587,summer
2022_04_22,20.737846699673568,summer
2022_04_23,19.849506350556542,summer
2022_04_24,21.94333755007379,summer
2022_04_25,21.99089583924041,summer
2022_04_26,22.678020967378426,summer
2022_04_27,26.381762234000004,summer
2022_04_28,27.576213948686625,summer
2022_04_29,20.9511894116193,summer
2022_04_30,25.828941380037367,summer
2022_05_01,18.5027935905545,rainy
2022_05_02,14.04061157277149,rainy
2022_05_03,13.735386813234744,rainy
2022_05_04,18.76055093895178,rainy
2022_05_05,23.8700625967851,rainy
2022_05_06,25.091448741157574,rainy
2022_05_07,17.84603989908904,rainy
2022_05_08,14.078391386217069,rainy
