Date,Average_PM2.5,season
2019_01_01,19.31598901098901,winter
2019_01_02,21.356098901098903,winter
2019_01_03,23.65315934065934,winter
2019_01_04,25.57269230769231,winter
2019_01_05,31.506163003663005,winter
2019_01_06,42.79628205128205,winter
2019_01_07,42.914047619047615,winter
2019_01_08,25.325540293040287,winter
2019_01_09,23.554954212454213,winter
2019_01_10,33.15887362637363,winter
2019_01_11,47.4730402930403,winter
2019_01_12,43.783122710622706,winter
2019_01_13,46.58424501424502,winter
2019_01_14,47.02544159544159,winter
2019_01_15,40.79703296703297,winter
2019_01_16,37.4260347985348,winter
2019_01_17,37.55350427350427,winter
2019_01_18,28.327793040293038,winter
2019_01_19,37.4918956043956,winter
2019_01_20,45.855604395604395,winter
2019_01_21,50.033772893772884,winter
2019_01_22,40.85202380952381,winter
2019_01_23,39.139438339438335,winter
2019_01_24,42.0200407000407,winter
2019_01_25,52.7742735042735,winter
2019_01_26,48.96522893772894,winter
2019_01_27,40.96655677655677,winter
2019_01_28,49.399130036630034,winter
2019_01_29,54.10266483516483,winter
2019_01_30,62.72532967032967,winter
2019_01_31,54.715274725274725,winter
2019_02_01,38.16563186813187,summer
2019_02_02,37.854835164835166,summer
2019_02_03,31.949313186813182,summer
2019_02_04,30.302884615384613,summer
2019_02_05,29.621575091575092,summer
2019_02_06,29.01026556776557,summer
2019_02_07,32.1979304029304,summer
2019_02_08,31.368324175824174,summer
2019_02_09,29.307069597069596,summer
2019_02_10,32.86736263736264,summer
2019_02_11,35.65016483516483,summer
2019_02_12,38.38978937728938,summer
2019_02_13,48.902994505494505,summer
2019_02_14,33.85834249084248,summer
2019_02_15,32.74912087912088,summer
2019_02_16,31.10319597069597,summer
2019_02_17,23.05736263736264,summer
2019_02_18,23.173278388278387,summer
2019_02_19,22.824615384615388,summer
2019_02_20,25.604468864468863,summer
2019_02_21,30.15331501831502,summer
2019_02_22,29.836895604395608,summer
2019_02_23,32.231840659340655,summer
2019_02_24,30.469661172161175,summer
2019_02_25,32.73973443223443,summer
2019_02_26,33.09328754578755,summer
2019_02_27,36.06298534798535,summer
2019_02_28,37.73515567765567,summer
2019_03_01,34.870265567765564,summer
2019_03_02,34.73977207977208,summer
2019_03_03,33.95297619047619,summer
2019_03_04,30.89529304029304,summer
2019_03_05,32.49697802197802,summer
2019_03_06,31.423741899126508,summer
2019_03_07,28.68974992955762,summer
2019_03_08,30.11931318681319,summer
2019_03_09,27.634267399267394,summer
2019_03_10,30.53885531135531,summer
2019_03_11,41.523644688644694,summer
2019_03_12,59.172628205128206,summer
2019_03_13,54.064084249084246,summer
2019_03_14,52.12357847280924,summer
2019_03_15,52.070073260073265,summer
2019_03_16,51.20641025641025,summer
