Date,05T,59T,61T,50T,52T,53T,54T,08T,19T,27T,24T,26T,79T,46T,30T,32T,77T,35T,36T,40T,75T,76T,44T,62T,63T,80T
2017_03_19,16.0,15.333333333333334,15.0,15.333333333333334,15.0,15.333333333333334,15.333333333333334,14.0,14.0,16.0,33.0,17.0,16.777777777777775,64.85714285714286,15.0,14.0,21.0,57.0,40.0,36.0,17.0,38.0,18.0,18.0,18.0,
2017_03_20,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,10.0,41.0,17.0,16.0,61.57142857142857,12.0,12.0,24.0,105.0,84.0,49.0,28.0,68.0,30.0,30.0,30.0,
2017_03_21,26.0,20.0,24.0,25.0,30.0,25.0,25.0,25.0,25.0,20.0,40.0,22.0,25.583333333333332,58.285714285714285,8.0,15.0,22.0,77.0,73.0,59.0,42.0,64.0,13.0,13.0,13.0,
2017_03_22,26.0,29.0,25.0,27.25,29.0,27.25,27.25,24.0,24.0,31.0,49.0,39.0,29.8125,55.0,10.0,17.0,27.0,71.0,64.0,62.0,50.0,70.0,12.0,12.0,12.0,
2017_03_23,19.0,22.0,18.0,19.5,19.0,19.5,19.5,16.0,16.0,15.0,36.0,22.0,20.125,51.714285714285715,10.0,12.0,19.0,114.0,98.0,95.0,56.0,111.0,15.0,15.0,15.0,
2017_03_24,18.0,15.0,17.0,17.0,18.0,17.0,17.0,15.0,15.0,11.0,37.0,20.0,18.083333333333332,48.42857142857143,10.0,14.0,18.0,110.0,96.0,72.0,64.0,69.0,10.0,10.0,10.0,
2017_03_25,23.0,22.0,23.0,22.25,21.0,22.25,22.25,20.0,20.0,19.0,38.0,32.0,23.729166666666668,45.14285714285714,22.0,20.0,24.0,67.0,57.0,43.0,59.0,57.0,11.0,11.0,11.0,
2017_03_26,25.0,24.0,29.0,24.75,21.0,24.75,24.75,17.0,17.0,12.0,33.0,18.0,22.520833333333332,41.85714285714286,21.0,19.0,30.0,64.0,51.0,44.0,48.0,67.0,13.0,13.0,13.0,
2017_03_27,23.0,25.0,24.0,25.5,30.0,25.5,25.5,23.0,23.0,30.0,40.0,12.0,25.541666666666668,38.57142857142857,21.0,16.0,21.0,45.0,32.0,18.0,16.0,60.0,7.0,7.0,7.0,
2017_03_28,38.0,29.0,34.0,34.75,38.0,34.75,34.75,31.0,31.0,45.0,35.0,38.0,35.270833333333336,35.285714285714285,22.0,19.0,25.0,49.0,29.0,25.0,36.5,43.0,9.0,9.0,9.0,
2017_03_29,32.0,30.0,29.0,30.5,31.0,30.5,30.5,26.0,26.0,24.0,53.0,30.0,31.041666666666668,32.0,33.0,23.0,28.0,54.0,41.0,30.0,31.0,47.0,9.0,9.0,9.0,
2017_03_30,24.0,30.0,28.0,26.25,23.0,26.25,26.25,24.0,24.0,13.0,33.0,15.0,24.395833333333332,35.0,18.0,18.0,26.0,52.0,34.0,35.0,29.0,43.0,12.0,12.0,12.0,
2017_03_31,15.0,16.0,15.666666666666666,15.666666666666666,16.0,15.666666666666666,15.666666666666666,12.0,12.0,9.0,22.0,14.0,14.888888888888891,29.0,9.0,15.0,21.0,56.0,49.0,35.0,26.0,40.0,10.0,10.0,10.0,
2017_04_01,21.0,15.0,19.666666666666668,19.666666666666668,23.0,19.666666666666668,19.666666666666668,22.0,22.0,24.0,28.0,18.0,20.972222222222225,14.0,15.0,16.0,15.0,58.0,49.0,24.0,14.0,46.0,10.0,10.0,10.0,
2017_04_02,29.0,23.0,27.333333333333332,27.333333333333332,30.0,27.333333333333332,27.333333333333332,23.0,23.0,31.0,27.0,33.0,27.361111111111114,27.0,20.0,22.0,24.0,17.0,17.0,15.0,10.0,34.0,11.0,11.0,11.0,
2017_04_03,42.0,36.0,41.0,41.0,45.0,41.0,41.0,37.0,37.0,39.0,41.0,33.0,39.5,21.0,27.0,24.0,28.0,41.0,27.0,26.0,16.0,35.0,5.0,5.0,5.0,
2017_04_04,39.0,35.0,41.333333333333336,41.333333333333336,50.0,41.333333333333336,41.333333333333336,42.0,42.0,48.0,44.0,39.0,42.02777777777778,35.0,33.0,29.0,29.0,52.0,38.0,34.0,23.0,32.0,9.0,9.0,9.0,
2017_04_05,47.0,40.0,44.333333333333336,44.333333333333336,46.0,44.333333333333336,44.333333333333336,40.0,40.0,41.0,59.0,29.0,43.27777777777777,53.0,39.0,30.0,26.0,61.0,45.0,39.0,45.0,35.0,11.0,11.0,11.0,
2017_04_06,30.0,27.0,30.0,30.0,33.0,30.0,30.0,29.0,29.0,23.0,42.0,23.0,29.666666666666668,34.0,16.0,22.0,18.0,71.0,61.0,55.0,27.0,49.0,12.0,12.0,12.0,
2017_04_07,19.0,21.0,19.0,19.0,17.0,19.0,19.0,18.0,18.0,15.0,42.0,17.0,20.25,31.0,12.0,14.0,17.0,78.0,69.0,50.0,35.0,53.0,8.0,8.0,8.0,
2017_04_08,13.333333333333334,12.0,14.0,13.333333333333334,14.0,13.333333333333334,13.333333333333334,12.0,12.0,9.0,34.0,10.0,14.194444444444443,25.0,13.0,15.0,19.0,90.0,74.0,37.0,37.0,44.0,17.0,17.0,17.0,
2017_04_09,11.0,10.0,12.0,11.0,11.0,11.0,11.0,10.0,10.0,6.0,40.0,10.0,12.75,26.0,9.0,9.0,19.0,86.0,72.0,44.0,58.25,31.0,15.666666666666668,15.666666666666668,15.666666666666668,
2017_04_10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,7.0,29.0,11.0,10.916666666666666,28.0,11.0,9.0,19.0,68.0,52.0,43.0,46.75,24.0,14.333333333333332,14.333333333333332,14.333333333333332,
2017_04_11,9.666666666666666,10.0,10.0,9.666666666666666,9.0,9.666666666666666,9.666666666666666,9.0,9.0,7.0,20.0,11.0,10.305555555555555,23.0,9.0,7.0,15.0,68.0,50.0,52.0,50.0,21.0,13.0,13.0,13.0,
2017_04_12,8.666666666666666,8.0,11.0,8.666666666666666,7.0,8.666666666666666,8.666666666666666,8.0,8.0,5.0,27.0,8.0,9.722222222222221,28.0,10.0,6.0,14.0,81.0,66.0,38.0,53.0,20.0,18.0,18.0,18.0,
2017_04_13,10.666666666666666,10.0,12.0,10.666666666666666,10.0,10.666666666666666,10.666666666666666,8.0,8.0,4.0,24.0,9.0,10.638888888888888,14.0,9.0,8.0,13.0,65.0,48.0,23.0,39.5,22.0,19.0,19.0,19.0,
2017_04_14,17.333333333333332,17.0,16.0,17.333333333333332,19.0,17.333333333333332,17.333333333333332,16.0,16.0,11.0,16.0,11.0,15.944444444444443,16.0,12.0,11.0,19.0,30.0,15.0,10.0,17.0,13.0,11.0,11.0,11.0,
2017_04_15,16.333333333333332,16.0,18.0,16.333333333333332,15.0,16.333333333333332,16.333333333333332,12.0,12.0,9.0,23.0,13.0,15.277777777777777,25.0,13.0,12.0,18.0,28.0,13.0,10.0,15.25,10.0,9.0,9.0,9.0,
2017_04_16,15.666666666666666,15.0,16.0,15.666666666666666,16.0,15.666666666666666,15.666666666666666,12.0,12.0,9.0,28.0,12.0,15.222222222222223,23.0,13.0,13.0,19.0,24.0,14.0,14.0,7.0,10.0,12.0,12.0,12.0,
2017_04_17,20.333333333333332,20.0,20.0,20.333333333333332,21.0,20.333333333333332,20.333333333333332,19.0,19.0,14.0,31.0,14.0,19.944444444444443,31.0,22.0,18.0,23.0,22.0,15.0,12.0,14.75,10.0,14.0,14.0,14.0,
2017_04_18,12.0,14.0,14.666666666666666,14.666666666666666,18.0,14.666666666666666,14.666666666666666,15.0,15.0,16.515151515151516,36.0,13.0,16.515151515151516,29.0,18.0,15.0,25.0,25.0,11.0,8.0,13.0,8.0,20.0,20.0,20.0,
2017_04_19,12.0,10.0,12.0,12.0,14.0,12.0,12.0,8.0,8.0,12.363636363636363,25.0,11.0,12.363636363636365,23.0,11.0,10.0,14.0,33.0,22.0,18.0,21.25,12.0,18.0,18.0,18.0,
2017_04_20,21.666666666666668,21.0,20.0,21.666666666666668,24.0,21.666666666666668,21.666666666666668,19.0,19.0,20.96969696969697,26.0,15.0,20.96969696969697,24.0,16.0,12.0,21.0,38.0,24.0,24.0,20.0,18.0,16.0,16.0,16.0,
2017_04_21,32.0,28.0,31.0,32.0,37.0,32.0,32.0,29.0,29.0,29.0,34.0,26.0,30.916666666666668,34.0,24.0,20.0,26.0,52.0,39.0,38.0,32.0,31.0,16.0,16.0,16.0,
2017_04_22,43.0,45.0,46.0,45.5,48.0,45.5,45.5,43.0,43.0,42.0,51.0,39.0,44.708333333333336,50.0,35.0,35.0,37.0,73.0,55.0,49.0,40.0,40.0,18.0,18.0,18.0,
2017_04_23,43.0,43.0,44.0,44.5,48.0,44.5,44.5,42.0,42.0,44.0,48.0,40.0,43.958333333333336,45.0,43.0,37.0,42.0,79.0,58.0,60.0,28.0,39.0,20.0,20.0,20.0,
2017_04_24,39.0,39.0,38.0,39.0,40.0,39.0,39.0,35.0,35.0,37.0,47.0,36.0,38.583333333333336,37.0,30.0,27.0,28.0,73.0,60.0,58.0,23.0,39.0,15.0,15.0,15.0,
2017_04_25,32.666666666666664,31.0,31.0,32.666666666666664,36.0,32.666666666666664,32.666666666666664,30.0,30.0,31.0,38.0,28.0,32.138888888888886,29.0,29.0,29.0,31.0,71.0,57.0,49.0,31.0,28.0,26.0,26.0,26.0,
2017_04_26,33.333333333333336,33.0,31.0,33.333333333333336,36.0,33.333333333333336,33.333333333333336,32.0,32.0,31.0,45.0,27.0,33.361111111111114,38.0,28.0,27.0,35.0,67.0,57.0,48.0,37.0,33.0,19.0,19.0,19.0,
