Date,Rain_73T,PM_73T
2018-01-01,7.5,17.333333333333336
2018-01-02,0.0,20.22222222222222
2018-01-03,5.5,20.555555555555557
2018-01-04,0.0,22.555555555555557
2018-01-05,11.0,22.444444444444446
2018-01-06,1.5,25.888888888888893
2018-01-07,1.5,29.444444444444446
2018-01-08,0.0,36.55555555555556
2018-01-09,0.0,24.666666666666664
2018-01-10,0.0,24.88888888888889
2018-01-11,0.0,25.333333333333336
2018-01-12,0.0,16.0
2018-01-13,0.0,21.88888888888889
2018-01-14,0.0,27.444444444444446
2018-01-15,0.0,31.111111111111107
2018-01-16,0.0,33.88888888888889
2018-01-17,0.0,30.444444444444446
2018-01-18,0.0,32.55555555555556
2018-01-19,0.0,30.888888888888893
2018-01-20,0.0,32.55555555555556
2018-01-21,0.0,35.333333333333336
2018-01-22,0.0,31.333333333333336
2018-01-23,0.0,31.444444444444446
2018-01-24,0.0,28.666666666666664
2018-01-25,0.0,30.888888888888893
2018-01-26,0.0,39.88888888888889
2018-01-27,0.0,34.333333333333336
2018-01-28,0.0,32.44444444444444
2018-01-29,0.0,25.666666666666664
2018-01-30,0.0,25.444444444444446
2018-01-31,0.0,35.11111111111111
2018-02-01,0.0,32.88888888888889
2018-02-02,0.0,37.55555555555556
2018-02-03,0.0,49.77777777777778
2018-02-04,0.0,53.44444444444444
2018-02-05,0.0,57.33333333333333
2018-02-06,0.0,62.11111111111111
2018-02-07,0.0,57.0
2018-02-08,0.0,58.22222222222221
2018-02-09,0.0,61.66666666666667
2018-02-10,0.0,52.0
2018-02-11,0.0,48.11111111111111
2018-02-12,0.0,56.22222222222221
2018-02-13,0.0,48.44444444444444
2018-02-14,0.0,51.44444444444444
2018-02-15,0.0,53.22222222222221
2018-02-16,0.0,40.0
2018-02-17,0.0,40.0
2018-02-18,0.0,51.11111111111111
2018-02-19,0.0,65.33333333333333
2018-02-20,0.0,63.22222222222221
2018-02-21,0.0,48.55555555555556
2018-02-22,0.0,39.22222222222222
2018-02-23,0.0,25.0
2018-02-24,0.0,24.88888888888889
2018-02-25,0.0,30.77777777777778
2018-02-26,0.0,34.0
2018-02-27,0.0,33.11111111111111
2018-02-28,0.0,45.11111111111111
2018-03-01,0.0,53.88888888888889
2018-03-02,0.0,56.33333333333333
2018-03-03,0.0,47.77777777777778
2018-03-04,0.0,56.88888888888889
2018-03-05,0.0,89.0
2018-03-06,0.0,78.11111111111111
2018-03-07,0.0,74.66666666666666
2018-03-08,0.0,79.44444444444444
2018-03-09,0.0,50.55555555555556
2018-03-10,0.0,35.0
2018-03-11,0.5,51.88888888888889
2018-03-12,0.0,55.22222222222221
2018-03-13,0.0,50.22222222222222
2018-03-14,0.0,64.11111111111111
2018-03-15,0.0,69.44444444444444
2018-03-16,0.0,74.77777777777779
2018-03-17,0.5,68.44444444444444
2018-03-18,0.0,74.11111111111111
2018-03-19,0.0,65.77777777777779
2018-03-20,0.0,70.33333333333334
2018-03-21,0.0,86.66666666666666
2018-03-22,0.0,75.44444444444444
2018-03-23,0.0,71.77777777777779
2018-03-24,0.0,74.22222222222221
2018-03-25,2.5,79.33333333333334
2018-03-26,0.5,79.44444444444444
2018-03-27,0.0,61.11111111111111
2018-03-28,0.0,70.22222222222221
2018-03-29,0.0,85.11111111111111
2018-03-30,30.5,81.66666666666666
2018-03-31,8.0,62.66666666666667
2018-04-01,0.0,44.22222222222222
2018-04-02,17.5,46.88888888888889
2018-04-03,0.0,32.0
2018-04-04,29.5,42.77777777777778
2018-04-05,8.5,29.77777777777778
2018-04-06,14.5,30.0
2018-04-07,12.0,20.0
2018-04-08,0.0,17.11111111111111
2018-04-09,0.0,23.88888888888889
2018-04-10,0.0,39.77777777777778
2018-04-11,3.5,66.88888888888889
2018-04-12,0.0,67.0
2018-04-13,0.0,73.11111111111111
2018-04-14,0.0,79.0
2018-04-15,0.0,74.22222222222221
2018-04-16,8.5,46.66666666666667
2018-04-17,2.5,27.0
2018-04-18,6.0,23.0
2018-04-19,6.5,35.88888888888889
2018-04-20,0.0,40.44444444444444
2018-04-21,0.0,53.88888888888889
2018-04-22,0.0,64.44444444444444
2018-04-23,0.0,63.88888888888889
2018-04-24,3.0,69.0
2018-04-25,1.5,53.55555555555556
2018-04-26,7.0,30.666666666666664
2018-04-27,0.0,27.77777777777778
2018-04-28,2.0,20.22222222222222
2018-04-29,0.5,13.88888888888889
2018-04-30,0.0,13.88888888888889
2018-05-01,1.5,13.0
2018-05-02,13.5,9.0
2018-05-03,21.0,8.777777777777777
2018-05-04,1.0,10.555555555555555
2018-05-05,0.0,12.666666666666668
2018-05-06,4.0,17.444444444444446
2018-05-07,0.0,24.333333333333336
2018-05-08,0.0,30.555555555555557
2018-05-09,0.5,34.44444444444444
2018-05-10,0.0,28.333333333333336
2018-05-11,0.0,17.11111111111111
2018-05-12,2.0,16.77777777777778
2018-05-13,0.0,16.0
2018-05-14,1.5,16.666666666666664
2018-05-15,0.0,17.333333333333336
2018-05-16,0.0,21.571428571428573
2018-05-17,0.0,13.444444444444446
2018-05-18,0.3,14.571428571428571
2018-05-19,0.0,12.444444444444445
2018-05-20,0.0,17.714285714285715
2018-05-21,31.0,16.333333333333336
2018-05-22,0.0,10.666666666666668
2018-05-23,23.0,14.444444444444446
2018-05-24,3.5,11.777777777777777
2018-05-25,0.5,10.88888888888889
2018-05-26,0.5,10.11111111111111
2018-05-27,15.0,8.0
2018-05-28,9.5,7.777777777777777
2018-05-29,7.0,7.444444444444445
2018-05-30,3.0,6.777777777777777
