Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,81T,21T,24T,25T,26T,79T,84T,85T,41T,46T,47T,72T,82T,83T,88T,90T,91T,28T,29T,30T,31T,74T,32T,33T,34T,60T,71T,77T,87T,35T,36T,37T,38T,39T,40T,57T,73T,58T,67T,75T,68T,69T,70T,76T,86T,92T,42T,44T,62T,63T,78T,89T,43T,80T,93T
2021_03_10,28.0,23,42.0,28,24.0,25,25.0,40.0,32.0,29,33.0,41.0,29.0,24.0,22,32,29.0,27.0,24.0,33.0,21.0,39.0,25.0,36.0,54.0,31.0,33.0,39.0,15.0,37.0,37.0,46.0,63,35.0,55.0,77.0,35.0,51.833333333333336,51.83333333333333,30,23.0,25,23,25.0,27.0,13.0,22.0,35.0,37.0,41.0,23.0,116.0,105.0,82.0,32.0,67.0,51.0,88.0,178.0,213.0,54.0,54.0,92.0,59,76.0,106.0,45.0,88.625,28.0,17,20,18,13.0,24.0,24.0,16.0,20.0
2021_03_11,30.0,27,42.0,36,30.0,29,26.0,42.0,36.0,31,36.0,49.0,32.0,24.0,23,36,32.0,33.0,27.0,38.0,22.0,41.0,27.0,39.0,57.0,41.0,30.0,44.0,15.0,34.0,37.0,52.0,60,37.0,58.0,83.0,32.0,53.666666666666664,53.66666666666667,28,22.0,22,25,22.0,23.0,12.0,24.0,34.0,43.0,45.0,26.0,131.0,114.0,80.0,35.0,68.0,63.0,77.0,178.0,228.0,54.0,52.0,95.0,63,77.0,110.0,48.0,92.0625,29.0,14,21,18,11.0,23.0,20.0,11.0,15.5
2021_03_12,30.0,23,41.0,29,25.0,25,25.0,42.0,32.0,29,32.0,47.0,28.0,20.0,22,33,29.0,29.0,24.0,32.0,22.0,38.0,29.0,37.0,62.0,42.0,33.0,41.0,17.0,38.0,45.0,41.0,51,45.0,54.0,58.0,25.0,45.666666666666664,45.66666666666667,33,20.0,18,25,21.0,23.0,15.0,22.0,34.0,41.0,47.0,21.0,98.0,102.0,76.0,31.0,65.0,64.0,74.0,164.0,208.0,50.0,52.0,77.0,65,79.0,87.0,53.0,84.0625,27.0,15,20,18,9.0,23.0,21.0,13.0,17.0
2021_03_13,26.0,21,39.0,29,24.0,26,24.0,42.0,28.0,27,29.0,45.0,27.0,19.0,19,32,29.0,28.0,25.0,32.0,22.0,39.0,25.0,38.0,55.0,37.0,39.75,34.0,16.0,35.0,43.0,41.0,50,90.0,52.0,63.0,24.0,53.333333333333336,53.33333333333333,37,24.0,18,21,21.0,22.0,14.0,21.0,34.0,47.0,40.0,19.0,107.0,104.0,72.0,42.0,67.0,60.0,79.0,176.0,162.0,55.0,57.0,79.0,66,78.0,77.0,57.0,83.625,36.0,17,15,17,8.0,18.0,22.0,14.0,18.0
2021_03_14,27.0,21,34.0,27,21.0,22,22.0,39.0,28.0,26,25.0,40.0,26.0,17.0,18,31,26.0,26.0,22.0,32.0,22.0,36.0,26.0,36.0,51.0,33.0,31.0,28.0,14.0,33.0,35.0,44.0,54,37.0,48.0,75.0,39.0,49.5,49.5,30,16.0,16,17,19.0,21.0,11.0,19.0,35.0,33.0,46.0,21.0,88.0,94.0,67.0,44.0,66.0,56.0,70.0,204.0,125.0,62.0,68.0,71.0,66,70.0,64.0,53.0,79.25,39.0,17,15,18,11.0,20.0,24.0,16.0,20.0
2021_03_15,24.0,21,34.0,25,20.0,20,21.0,39.0,27.0,25,24.0,35.0,26.0,17.0,20,29,24.0,21.0,19.0,27.0,21.0,26.0,23.0,37.0,45.0,33.0,29.0,24.0,14.0,29.0,35.0,63.0,66,44.0,59.0,110.0,52.0,65.66666666666667,65.66666666666667,30,18.0,20,21,20.0,20.0,11.0,20.0,38.0,32.0,42.0,22.0,72.0,74.0,62.0,55.0,64.0,56.0,66.0,141.0,90.0,61.0,57.0,55.0,68,63.0,53.0,53.0,68.125,35.0,16,21,20,11.0,23.0,22.0,12.0,17.0
2021_03_16,27.0,22,36.0,27,25.0,23,23.0,39.0,29.0,30,27.0,39.0,29.0,22.0,25,32,31.0,25.0,23.0,32.0,25.0,29.0,27.0,31.0,41.0,30.0,30.0,24.0,16.0,33.0,36.0,81.0,59,50.0,66.0,150.0,82.0,81.33333333333333,81.33333333333334,33,21.0,20,21,23.0,25.0,13.0,27.0,37.0,30.0,39.0,22.0,62.0,66.0,59.0,51.0,55.0,52.0,62.0,140.0,97.0,61.0,55.0,53.0,55,57.0,48.0,46.0,63.6875,41.0,15,21,17,11.0,24.0,26.0,15.0,20.5
2021_03_17,30.0,25,39.0,30,28.0,28,24.0,39.0,32.0,31,28.0,45.0,33.0,24.0,24,37,29.0,28.0,24.0,35.0,31.0,33.0,28.0,34.0,43.0,35.0,34.0,21.0,17.0,40.0,39.0,72.0,58,52.0,75.0,152.0,94.0,83.83333333333333,83.83333333333334,32,24.0,25,24,25.0,28.0,14.0,27.0,36.0,31.0,43.0,28.0,66.0,67.0,62.0,52.0,65.0,53.0,63.0,173.0,103.0,58.0,53.0,57.0,56,57.0,54.0,44.0,67.6875,39.0,19,18,18,12.0,20.0,25.0,13.0,19.0
2021_03_18,38.0,34,40.0,40,34.0,33,28.0,44.0,40.0,39,37.0,55.0,40.0,35.0,29,46,36.0,35.0,31.0,43.0,39.0,43.0,34.0,42.0,51.0,40.0,43.0,30.0,22.0,43.0,41.0,76.0,61,57.0,66.0,161.0,99.0,86.66666666666667,86.66666666666666,43,29.0,29,33,31.0,34.0,21.0,35.0,46.0,39.0,51.0,31.0,71.0,76.0,58.0,49.0,58.0,57.0,69.0,196.0,110.0,57.0,56.0,56.0,51,59.0,61.0,52.0,71.0,44.0,22,18,19,18.0,25.0,33.0,20.0,26.5
2021_03_19,33.0,27,25.0,32,28.0,29,26.0,38.0,35.0,34,32.0,48.0,35.0,26.0,28,37,31.0,31.0,26.0,38.0,16.666666666666668,39.0,31.0,43.0,47.0,45.0,38.0,28.0,18.0,39.0,46.0,77.0,68,56.0,62.0,153.0,82.0,83.0,83.0,40,29.0,26,27,27.0,29.0,15.0,29.0,44.0,38.0,47.0,28.0,68.0,73.0,63.0,50.0,59.0,56.0,71.0,219.0,137.0,57.0,71.0,55.0,64,58.0,60.0,55.0,76.0,40.0,18,16,18,16.0,23.0,39.0,16.0,27.5
2021_03_20,33.0,28,29.0,32,27.0,28,26.0,38.0,36.0,34,31.0,47.0,35.0,27.0,29,39,33.0,31.0,26.0,36.0,34.0,37.0,31.0,35.0,40.0,36.0,37.0,28.0,19.0,41.0,44.0,74.0,62,60.0,62.0,133.0,103.0,82.33333333333333,82.33333333333334,37,23.0,22,25,23.0,28.0,13.0,28.0,41.0,31.0,42.0,23.0,70.0,69.0,65.0,56.0,60.0,64.0,71.0,224.0,130.0,61.0,68.0,54.0,80,64.0,48.0,60.0,77.75,26.0,18,14,16,16.0,18.0,40.0,15.0,27.5
2021_03_21,24.0,21,25.0,26,21.0,21,22.0,30.0,26.0,26,24.0,38.0,27.0,19.0,19,32,28.0,24.0,21.0,27.0,21.0,33.0,23.0,28.0,38.0,35.0,30.0,28.0,12.0,34.0,38.0,59.0,50,56.0,61.0,93.0,44.0,60.5,60.5,28,16.0,15,16,16.0,22.0,11.0,24.0,33.0,28.0,37.0,21.0,56.0,60.0,66.0,56.0,70.0,62.0,68.0,197.0,117.0,60.0,61.0,46.0,65,63.0,60.0,54.0,72.5625,21.0,16,16,15,14.0,15.0,34.0,11.0,22.5
2021_03_22,51.0,38,38.0,42,37.0,41,35.0,51.0,46.0,52,47.0,55.0,48.0,36.0,33,57,37.0,49.0,40.0,39.0,47.0,39.0,29.0,32.0,24.0,27.0,30.0,14.0,17.0,36.0,30.0,19.0,19,18.0,40.0,12.0,14.0,20.333333333333332,20.333333333333336,34,27.0,25,30,26.0,35.0,18.0,32.0,34.0,29.0,34.0,25.0,53.0,55.0,48.0,44.0,46.0,49.0,48.0,118.0,135.0,33.0,74.25,42.0,36,45.0,61.0,34.0,57.578125,21.0,11,19,14,12.0,14.0,21.0,12.0,16.5
2021_03_23,42.0,37,37.0,38,36.0,35,34.0,49.0,41.0,42,39.0,46.0,42.0,37.0,34,57,37.0,36.0,31.0,41.0,57.0,33.0,33.0,25.0,24.0,24.0,37.0,16.0,23.0,24.0,27.0,29.0,23,20.0,33.0,18.0,28.0,25.166666666666668,25.166666666666664,30,25.0,30,30,28.0,30.0,11.0,26.0,22.0,15.0,26.0,25.0,40.0,36.0,32.0,28.0,33.0,32.0,34.0,64.0,109.0,31.0,26.0,29.0,32,41.0,39.0,26.0,39.5,25.0,15,13,16,10.0,15.0,22.0,12.0,17.0
2021_03_24,47.0,40,46.0,45,40.0,43,37.0,51.0,47.0,49,46.0,58.0,47.0,43.0,42,58,48.0,44.0,40.0,69.0,79.0,45.0,60.0,50.0,53.0,36.0,53.0,49.333333333333336,38.0,56.0,35.0,36.0,45,29.0,42.0,74.0,16.0,40.333333333333336,40.33333333333333,42,31.0,34,32,35.0,34.0,16.0,34.0,41.0,32.0,43.0,30.0,45.0,42.0,39.0,34.0,38.0,36.0,44.0,83.0,127.0,52.0,38.0,36.0,44,46.0,41.0,43.0,49.25,30.0,14,15,13,6.0,21.0,26.0,9.0,17.5
2021_03_25,37.0,34,40.0,40,33.0,33,32.0,45.0,39.0,38,40.0,54.0,39.0,32.0,31,49,39.0,38.0,32.0,46.0,37.0,24.5,39.0,55.0,59.0,49.0,52.0,30.0,24.0,58.0,56.0,48.0,55,39.0,42.0,70.0,32.0,47.666666666666664,47.66666666666667,43,33.0,29,33,30.0,35.0,23.0,36.0,50.0,48.0,51.0,31.0,57.0,59.0,47.0,39.0,44.0,44.0,53.0,90.0,125.0,62.0,45.0,45.0,53,53.0,34.0,60.0,56.875,27.0,13,19,15,7.0,9.0,18.0,9.0,13.5
2021_03_26,20.0,16,20.0,21,15.0,17,19.0,28.0,23.0,21,19.0,34.0,21.0,18.0,14,28,18.0,19.0,15.0,24.0,16.0,21.0,20.0,30.0,35.0,29.0,30.0,23.0,10.0,32.0,39.0,67.0,63,51.0,53.0,73.0,54.0,60.166666666666664,60.16666666666667,19,12.0,12,12,13.0,16.0,12.5,14.0,24.0,21.0,33.0,14.0,55.0,52.0,47.0,44.0,49.0,51.0,54.0,119.0,144.0,62.0,48.0,39.0,58,53.0,38.0,60.0,60.8125,22.0,14,16,15,10.0,17.0,20.0,11.0,15.5
2021_03_27,16.0,12,17.0,16,17.0,12,17.0,26.0,19.0,17,15.0,31.0,21.333333333333332,11.0,14,27,17.0,15.0,12.0,23.0,12.0,20.0,13.0,23.0,29.0,21.0,21.0,18.0,8.0,30.0,37.0,72.0,45,53.0,50.0,127.0,71.0,69.66666666666667,69.66666666666667,23,13.0,12,13,13.0,15.0,17.0,15.0,24.0,18.0,30.0,16.0,63.0,64.0,50.0,46.0,48.0,49.0,59.0,132.0,132.0,64.0,49.0,44.0,57,56.0,37.0,55.0,62.8125,20.0,12,12,13,10.0,21.0,19.0,7.0,13.0
2021_03_28,18.0,15,18.0,20,18.0,15,18.0,24.0,21.0,20,17.0,30.0,18.0,13.0,13,27,18.0,17.0,14.0,20.0,15.0,18.0,17.0,19.0,21.0,22.0,22.0,15.0,9.0,38.0,34.0,54.0,38,32.0,37.0,120.0,90.0,61.833333333333336,61.83333333333333,22,12.0,11,15,12.0,16.0,12.0,15.0,22.0,16.0,28.0,13.0,67.0,64.0,59.0,54.0,57.0,53.0,73.0,224.0,120.0,64.0,57.0,53.0,52,65.0,38.0,45.0,71.5625,17.0,10,8,11,11.0,9.0,16.0,8.0,12.0
2021_03_29,18.0,14,19.0,24,18.0,14,18.0,23.0,20.0,20,17.0,29.0,20.0,12.0,14,26,17.0,17.0,12.0,22.0,16.0,18.0,18.0,16.0,23.0,20.0,22.0,17.0,11.0,31.0,27.0,42.0,34,38.0,31.0,76.0,69.0,48.333333333333336,48.33333333333333,22,10.0,11,11,12.0,15.0,12.5,16.0,21.0,14.0,24.0,11.0,68.0,73.0,55.0,49.0,57.0,51.0,74.0,251.0,89.0,47.0,48.0,53.0,49,66.0,50.0,50.0,70.625,18.0,12,9,12,10.0,9.0,13.0,17.0,15.0
2021_03_30,21.0,15,19.0,23,21.0,17,19.0,25.0,24.0,21,19.0,31.0,21.0,14.0,18,28,15.0,21.0,18.0,31.0,20.0,32.0,32.0,37.0,36.0,33.0,34.0,25.0,16.0,39.0,45.0,42.0,35,39.0,33.0,51.0,75.0,45.833333333333336,45.83333333333333,16,8.0,6,8,7.0,15.0,13.0,19.0,18.0,13.0,25.0,8.0,87.0,93.0,86.0,69.0,73.0,80.0,125.0,296.0,127.0,74.0,62.0,74.0,63,90.0,69.0,74.0,96.375,20.0,15,12,13,9.0,12.0,13.0,7.0,10.0
2021_03_31,28.0,20,25.0,28,24.0,23,21.0,32.0,28.0,27,25.0,41.0,26.0,19.0,21,33,22.0,26.0,21.0,36.0,26.0,29.0,42.0,39.0,35.0,33.0,35.0,33.0,17.0,55.0,68.0,53.0,37,53.0,42.0,50.0,71.0,51.0,51.0,20,13.0,11,11,12.0,17.0,17.0,18.0,22.0,13.0,31.0,10.0,87.0,97.0,90.0,74.0,79.0,78.0,111.0,414.0,82.0,98.0,76.0,79.0,87,88.0,72.0,110.0,107.625,18.0,12,10,14,14.0,10.0,13.0,8.0,10.5
2021_04_01,20.0,16,19.0,24,22.0,18,18.0,32.0,24.0,23,20.0,31.0,22.0,16.0,16,29,16.0,20.0,16.0,32.0,20.0,22.0,32.0,25.0,25.0,23.0,25.0,22.0,12.0,45.0,68.0,62.0,32,50.0,46.0,37.0,92.0,53.166666666666664,53.16666666666667,15,9.0,9,6,10.0,12.0,9.0,10.0,18.0,8.0,23.0,9.0,81.0,91.0,96.0,75.0,83.0,83.0,109.0,309.0,104.0,102.0,81.0,72.0,99,104.0,56.0,94.0,102.4375,18.0,17,10,16,12.0,9.0,12.0,8.0,10.0
2021_04_02,10.0,6,11.0,11,11.0,7,14.0,21.0,13.0,10,8.0,18.0,13.0,8.0,6,20,11.0,8.0,7.0,16.0,7.0,13.0,18.0,18.0,18.0,11.0,17.0,10.0,5.0,31.0,33.0,35.0,17,55.0,35.0,29.0,63.0,39.0,39.0,11,5.0,5,7,8.0,9.0,7.0,6.0,13.0,7.0,18.0,8.0,98.0,111.0,108.0,83.0,92.0,87.0,164.0,347.0,117.0,94.0,80.0,74.0,80,96.0,67.0,72.0,110.625,14.0,17,8,13,11.0,4.0,16.0,9.0,12.5
2021_04_03,14.0,10,11.0,15,14.0,11,16.0,21.0,17.0,15,14.0,30.0,16.0,11.0,10,25,16.0,12.0,11.0,14.0,9.0,20.0,27.0,17.0,23.0,18.0,15.0,7.0,6.0,31.0,36.0,39.0,28,38.0,15.0,52.0,34.0,34.333333333333336,34.333333333333336,13,5.0,6,6,7.0,20.25,8.0,11.0,13.0,11.0,20.0,7.0,101.0,99.0,76.0,52.0,63.0,53.0,259.0,357.0,192.0,66.0,64.0,66.0,50,69.0,49.0,34.0,103.125,16.0,23,10,15,10.0,16.0,19.0,11.0,15.0
2021_04_04,17.0,12,8.0,16,14.0,11,16.0,20.0,18.0,18,17.0,22.0,18.0,10.0,13,29,16.0,13.0,11.0,16.0,15.0,18.0,21.0,12.0,21.0,13.0,14.0,6.0,8.0,16.0,22.0,37.0,22,18.0,6.0,38.0,28.0,24.833333333333332,24.833333333333336,12,7.0,6,9,9.0,11.0,12.0,11.0,18.0,7.0,20.0,13.0,86.0,76.0,63.0,44.0,51.0,59.0,156.0,106.0,190.0,53.0,66.0,48.0,42,59.0,42.0,18.0,72.4375,22.0,19,13,13,10.0,17.0,24.0,15.0,19.5
2021_04_05,34.0,28,23.0,30,24.0,24,24.0,36.0,34.0,35,35.0,56.0,35.0,24.0,22,50,27.0,31.0,19.0,29.0,30.0,26.0,19.0,18.0,27.0,20.0,18.0,6.0,8.0,13.0,16.0,27.0,21,11.0,8.0,38.0,24.0,21.5,21.5,22,18.0,17,17,19.0,17.0,17.0,16.0,21.0,10.0,23.0,9.0,74.0,76.0,41.0,30.0,36.0,51.0,54.0,81.0,91.0,34.0,22.0,57.0,37,64.0,13.0,8.0,48.0625,19.0,17,12,16,15.0,13.0,29.0,17.0,23.0
2021_04_06,31.0,27,23.0,27,23.0,20,24.0,35.0,29.0,31,36.0,61.0,29.0,23.0,23,48,36.0,29.0,22.0,31.0,41.0,29.0,20.0,21.0,43.0,24.0,21.0,11.0,9.0,14.0,22.0,36.0,29,22.0,29.0,48.0,22.0,31.0,31.0,30,17.0,21,17,17.0,20.0,22.0,21.0,38.0,19.0,40.0,14.0,17.0,78.25,13.0,11.0,11.0,15.0,12.0,18.0,17.0,11.0,6.0,11.0,15,15.0,12.0,8.0,16.890625,19.0,12,14,14,11.0,16.0,21.0,10.0,15.5
2021_04_07,30.0,27,19.0,26,24.0,22,23.0,30.0,31.0,29,30.0,39.0,31.0,25.0,22,52,35.0,26.0,20.0,28.0,35.0,21.0,14.0,18.0,34.0,22.0,25.0,6.0,13.0,16.0,17.0,31.0,30,12.0,9.0,40.0,38.0,26.666666666666668,26.666666666666664,35,27.0,26,27,25.0,26.0,23.0,26.0,28.0,18.0,28.0,17.0,19.0,12.0,11.0,12.0,8.0,14.0,10.0,17.0,17.0,14.0,7.0,13.0,12,10.0,11.0,9.0,12.25,21.0,16,17,16,8.0,15.0,14.0,10.0,12.0
2021_04_08,32.0,32,22.0,26,25.0,22,23.0,34.0,31.0,32,31.0,50.0,34.0,27.0,23,51,32.0,23.0,17.0,35.0,29.0,24.0,17.0,30.0,39.0,29.0,18.0,7.0,10.0,20.0,25.0,27.0,34,10.0,10.0,61.0,42.0,30.666666666666668,30.666666666666664,30,22.0,23,23,21.0,24.0,26.0,24.0,30.0,20.0,33.0,17.0,21.0,14.0,17.0,11.0,12.0,17.0,15.0,28.0,24.0,16.0,14.0,18.0,15,14.0,12.0,16.0,16.5,19.0,21,17,17,9.0,21.0,19.0,17.0,18.0
2021_04_09,20.0,18,18.0,22,21.0,16,21.0,29.0,24.0,23,25.0,38.0,22.0,18.0,16,35,26.0,20.0,20.0,27.0,16.0,27.0,15.0,25.0,38.0,26.0,19.0,8.0,9.0,38.0,32.0,36.0,35,18.0,9.0,51.0,27.0,29.333333333333332,29.333333333333336,28,19.0,18,23,19.0,24.0,21.0,24.0,26.0,15.0,26.0,17.0,28.0,24.0,18.0,14.0,15.0,19.0,23.0,46.0,31.0,21.0,17.0,21.0,19,22.0,24.0,21.0,22.6875,29.0,22,19,20,17.0,23.0,23.0,21.0,22.0
2021_04_10,26.0,26,22.0,24,28.0,25,24.0,32.0,30.0,27,34.0,50.0,29.0,24.0,22,46,33.0,29.0,24.0,33.0,15.0,30.0,20.0,36.0,47.0,35.0,23.0,35.0,8.0,53.0,28.0,34.0,39,24.0,9.0,37.0,13.0,26.0,26.0,26,25.0,20,26,23.0,25.0,23.0,27.0,21.0,23.0,28.0,21.0,25.0,20.0,15.0,12.0,15.0,19.0,22.0,50.0,37.0,27.0,24.0,27.0,18,17.0,19.0,22.0,23.0625,28.0,24,24,23,22.0,21.0,28.0,24.0,26.0
2021_04_11,27.0,23,20.0,25,22.0,22,22.0,30.0,28.0,28,30.0,45.0,28.0,21.0,22,43,29.0,24.0,20.0,26.0,22.0,26.0,24.0,37.0,43.0,32.0,32.0,16.0,10.0,31.0,22.0,27.0,34,27.0,9.0,28.0,14.0,23.166666666666668,23.166666666666664,21,19.0,19,27,18.0,21.0,24.0,25.0,23.0,21.0,30.0,20.0,20.0,12.0,19.0,17.0,20.0,27.0,19.0,38.0,30.0,26.0,22.0,22.0,24,23.0,32.0,27.0,23.625,27.0,23,23,22,21.0,21.0,27.0,20.0,23.5
2021_04_12,27.0,21,26.0,24,23.0,21,22.0,28.0,28.0,30,27.0,56.0,29.0,20.0,20,40,28.0,21.0,17.0,26.0,27.0,21.0,21.0,26.0,29.0,26.0,22.0,9.0,11.0,36.0,23.0,37.0,32,29.0,8.0,36.0,22.0,27.333333333333332,27.333333333333336,22,19.0,17,23,21.0,18.0,18.0,22.0,19.0,16.0,28.0,14.0,23.0,16.0,23.0,23.0,23.0,31.0,22.0,34.0,42.0,27.0,21.0,15.0,28,29.0,23.0,26.0,25.375,26.0,16,21,17,18.0,22.0,23.0,15.0,19.0
2021_04_13,20.0,16,18.0,20,19.0,17,18.0,22.0,22.0,22,20.0,35.0,21.0,15.0,16,35,23.0,17.0,15.0,20.0,14.0,19.0,16.0,19.0,21.0,19.0,21.0,9.0,9.0,25.0,27.0,33.0,27,21.0,7.0,49.0,37.0,29.0,29.0,19,17.0,13,17,15.0,18.0,16.0,14.0,16.0,8.0,24.0,15.0,24.0,18.0,19.0,17.0,16.0,23.0,18.0,39.0,40.0,25.0,26.0,17.0,28,26.0,16.0,28.0,23.75,21.0,17,19,16,13.0,13.0,21.0,11.0,16.0
2021_04_14,16.0,11,16.0,15,15.0,12,16.0,19.0,17.0,17,15.0,32.0,17.0,13.0,12,28,20.0,13.0,12.0,17.0,16.0,19.0,15.0,22.0,19.0,18.0,14.0,4.0,8.0,19.0,25.0,29.0,25,18.0,8.0,28.0,39.0,24.5,24.5,22,16.0,13,15,15.0,14.0,18.0,15.0,17.0,11.0,26.0,13.0,26.0,22.0,22.0,18.0,20.0,25.0,18.0,37.0,66.0,22.0,27.0,19.0,22,16.0,22.0,19.0,25.0625,20.0,16,13,14,11.0,8.0,11.0,8.0,9.5
2021_04_15,23.0,15,17.0,21,17.0,18,20.0,24.0,22.0,24,23.0,28.0,21.0,15.0,15,31,23.0,21.0,17.0,20.0,15.0,23.0,18.0,21.0,22.0,19.0,11.0,4.0,8.0,17.0,17.0,24.0,21,14.0,8.0,25.0,21.0,18.833333333333332,18.833333333333336,20,16.0,14,15,15.0,15.0,16.0,16.0,16.0,9.0,22.0,13.0,30.0,24.0,18.0,18.0,76.0,22.0,23.0,59.0,49.0,21.0,20.0,19.0,18,20.0,15.0,19.0,28.1875,19.0,19,11,13,11.0,10.0,15.0,11.0,13.0
2021_04_16,18.0,14,17.0,17,18.0,14,17.0,20.0,18.0,20,16.0,21.0,18.0,15.0,12,27,19.0,14.0,12.0,19.0,16.0,16.0,12.0,15.0,24.0,19.0,12.0,11.0,8.0,16.0,20.0,25.0,23,20.0,8.0,32.0,25.0,22.166666666666668,22.166666666666664,20,11.0,13,12,12.0,14.0,14.0,16.0,22.0,8.0,26.0,11.0,35.0,31.0,24.0,20.0,19.0,28.0,28.0,66.0,79.0,24.0,27.0,25.0,23,23.0,12.0,33.0,31.0625,21.0,21,16,16,11.0,11.0,15.0,16.0,15.5
2021_04_17,17.0,16,17.0,17,14.0,12,18.0,20.0,18.0,18,20.0,21.0,17.0,13.0,10,30,22.0,14.0,12.0,23.0,15.0,19.0,14.0,24.0,27.0,18.0,13.0,10.0,7.0,21.0,19.0,23.0,23,9.0,7.0,32.0,25.0,19.833333333333332,19.833333333333336,25,14.0,12,16,15.0,15.0,16.0,17.0,19.0,15.0,32.0,12.0,25.0,17.0,14.0,11.0,12.0,19.0,28.0,51.0,24.0,18.0,19.0,13.0,15,16.0,12.0,17.0,19.4375,17.0,18,15,17,12.0,8.0,13.0,12.666666666666666,12.833333333333332
2021_04_18,17.0,11,18.0,14,14.0,12,17.0,20.0,17.0,16,21.0,17.0,15.0,12.0,10,25,16.0,16.0,12.0,20.0,15.0,18.0,11.0,17.0,27.0,23.0,10.0,8.0,7.0,22.0,19.0,28.0,24,8.0,7.0,31.0,17.0,19.166666666666668,19.166666666666664,23,11.0,8,12,10.0,11.0,13.0,11.0,21.0,12.0,20.0,11.0,14.0,5.0,10.0,8.0,6.0,13.0,20.0,42.0,18.0,11.0,7.0,4.0,11,11.0,12.0,11.0,12.6875,17.0,13,13,13,12.0,6.0,12.0,6.0,9.0
2021_04_19,12.0,8,12.0,12,11.0,7,14.0,21.0,14.0,14,11.0,13.0,14.0,8.0,8,22,14.0,10.0,8.0,14.0,15.0,11.0,9.0,11.0,19.0,11.0,11.0,10.0,5.0,12.0,13.0,19.0,12,6.0,6.0,27.0,25.0,15.833333333333334,15.833333333333332,16,8.0,8,7,9.0,9.0,9.0,8.0,15.0,6.0,17.0,8.0,20.0,14.0,8.0,6.0,8.0,13.0,14.0,34.0,18.0,15.0,13.0,14.0,9,13.0,10.0,10.0,13.6875,20.0,14,9,12,11.0,8.0,10.0,6.0,8.0
2021_04_20,15.0,9,14.0,14,13.0,9,15.0,19.0,17.0,15,14.0,17.0,14.0,9.0,9,22,15.0,10.0,10.0,21.0,11.0,22.0,8.0,12.0,32.0,12.0,11.0,8.0,4.0,15.0,16.0,21.0,15,9.0,6.0,14.0,27.0,15.333333333333334,15.333333333333332,14,8.0,4,6,6.0,16.25,21.5,8.0,14.0,8.0,17.0,7.0,28.0,22.0,14.0,12.0,11.0,20.0,21.0,46.0,27.0,22.0,17.0,18.0,16,16.0,18.0,20.0,20.5,17.0,14,9,12,8.0,9.0,12.0,5.0,8.5
2021_04_21,14.0,11,19.0,13,13.0,11,16.0,27.0,17.0,17,15.0,25.0,16.0,11.0,10,23,14.0,13.0,11.0,22.0,12.0,22.0,10.0,21.0,32.0,16.0,13.0,11.0,6.0,15.0,26.0,29.0,15,12.0,7.0,30.0,35.0,21.333333333333332,21.333333333333336,15,8.0,5,8,9.0,11.0,17.0,9.0,14.0,5.0,19.0,8.0,35.0,32.0,22.0,18.0,16.0,26.0,26.0,68.0,42.0,28.0,23.0,28.0,24,23.0,25.0,22.0,28.625,22.0,14,10,12,10.0,5.0,12.0,6.0,9.0
2021_04_22,27.0,15,26.0,22,17.0,18,19.0,37.0,23.0,28,23.0,27.0,22.0,20.0,18,30,19.0,21.0,19.0,32.0,22.0,26.0,15.0,23.0,36.0,23.0,17.0,15.0,9.0,21.0,31.0,34.0,20,20.0,7.0,36.0,40.0,26.166666666666668,26.166666666666664,13,13.0,13,13,12.0,16.0,15.0,14.0,21.0,6.0,23.75,10.0,46.0,41.0,37.0,27.0,27.0,39.0,37.0,113.0,50.0,31.0,30.0,43.0,29,31.0,24.0,30.0,39.6875,21.0,19,11,12,10.0,7.0,12.0,8.0,10.0
2021_04_23,21.0,19,21.0,20,19.0,19,20.0,29.0,24.0,23,23.0,23.0,24.0,19.0,19,34,25.0,17.0,16.0,24.0,21.0,20.0,16.0,25.0,31.0,24.0,17.0,18.0,10.0,25.0,36.0,32.0,23,29.0,6.0,20.0,37.0,24.5,24.5,14,17.0,16,15,17.0,21.0,20.0,18.0,30.0,10.0,26.75,8.0,53.0,51.0,48.0,36.0,36.0,45.0,48.0,158.0,45.0,44.0,38.0,52.0,41,41.0,26.0,39.0,50.0625,23.0,20,8,11,8.0,5.0,14.0,5.0,9.5
2021_04_24,22.0,20,18.0,22,20.0,18,19.0,31.0,25.0,24,22.0,25.0,25.0,19.0,21,34,24.0,18.0,16.0,24.0,19.0,29.0,16.0,26.0,26.0,23.0,21.0,19.0,11.0,26.0,37.0,33.0,27,34.0,7.0,23.0,44.0,28.0,28.0,9,16.0,15,15,17.0,18.0,16.0,18.0,22.0,9.0,14.0,10.0,57.0,53.0,58.0,43.0,42.0,52.0,53.0,134.0,43.0,58.0,46.0,45.0,45,47.0,32.0,37.0,52.8125,21.0,15,7,10,8.0,9.0,15.0,4.0,9.5
