Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,81T,21T,24T,25T,26T,79T,84T,85T,41T,46T,47T,72T,82T,83T,88T,90T,91T,28T,29T,30T,31T,74T,32T,33T,34T,60T,71T,77T,87T,35T,36T,37T,38T,39T,40T,57T,73T,58T,67T,75T,68T,69T,70T,76T,86T,92T,42T,44T,62T,63T,78T,89T,43T,80T,93T
2021_02_04,62.0,49,44.0,46,46.0,45,45.0,49.0,54.0,49,56.0,64.0,56.0,45.0,47,73,60.0,52.0,45.0,53.0,56.0,61.0,58.0,57.0,42.0,40.0,65.0,54.0,36.0,49.0,35.0,33.0,34,30.0,37.0,17.0,16.0,27.833333333333332,27.833333333333336,52,47.0,48,52,50.0,43.0,39.0,48.0,73.0,47.0,65.0,53.0,43.0,32.0,69.0,66.0,84.0,59.0,29.0,48.0,29.0,39.0,31.0,45.0,46,41.0,60.0,51.0,48.25,21.0,14,17,16,13.0,24.0,26.0,13.0,19.5
2021_02_05,58.0,47,43.0,51,45.0,49,44.0,60.0,49.0,52,56.0,61.0,54.0,49.0,44,62,56.0,52.0,42.0,58.0,79.0,55.0,58.0,45.0,39.0,34.0,61.0,46.0,44.0,46.0,42.0,34.0,32,32.0,42.0,18.0,21.0,29.833333333333332,29.833333333333336,54,45.0,54,46,54.0,42.0,40.0,51.0,54.0,56.0,46.0,60.0,60.0,47.0,71.0,66.0,83.0,65.0,43.0,60.0,34.0,49.0,36.0,50.0,45,61.0,55.0,65.0,55.625,18.0,13,20,16,9.0,19.0,22.0,10.0,16.0
2021_02_06,60.0,42,39.0,43,39.0,42,40.0,70.0,44.0,50,53.0,52.0,48.0,50.0,41,57,54.0,46.0,43.0,66.0,81.0,55.0,59.0,54.0,50.0,43.0,60.0,53.0,40.0,52.0,39.0,37.0,38,27.0,45.0,33.0,17.0,32.833333333333336,32.833333333333336,64,53.0,59,55,60.0,50.0,55.0,58.0,55.0,64.0,48.0,60.0,71.0,59.0,80.0,73.0,87.0,71.0,48.0,67.0,44.0,47.0,35.0,66.0,50,73.0,63.0,63.0,62.3125,15.0,15,20,17,7.0,19.0,19.0,11.0,15.0
2021_02_07,58.0,52,43.0,53,47.0,52,46.0,61.0,59.0,55,59.0,78.0,58.0,48.0,44,68,66.0,56.0,49.0,64.0,55.0,65.0,55.0,57.0,59.0,50.0,66.0,67.0,39.0,57.0,44.0,44.0,37,39.0,50.0,40.0,18.0,38.0,38.0,75,49.0,54,65,50.0,52.0,50.0,53.0,65.0,67.0,59.0,52.0,69.0,59.0,73.0,73.0,85.0,63.0,53.0,75.0,53.0,47.0,38.0,65.0,52,72.0,68.0,61.0,62.875,19.0,14,18,16,5.0,22.0,21.0,11.0,16.0
2021_02_08,31.0,26,28.0,32,26.0,27,32.0,46.0,33.0,31,34.0,49.0,30.0,22.0,23,32,31.0,29.0,24.0,32.0,24.0,42.0,29.0,45.0,71.0,43.0,37.0,58.0,18.0,44.0,52.0,46.0,50,42.0,47.0,30.0,9.0,37.333333333333336,37.33333333333333,46,27.0,25,34,27.0,29.0,32.0,30.0,61.0,60.0,60.0,39.0,48.0,40.0,64.0,57.0,58.0,59.0,16.0,15.0,36.0,46.0,26.0,43.0,57,23.0,52.0,68.0,44.25,17.0,13,21,15,3.0,19.0,24.0,9.0,16.5
2021_02_09,40.0,27,23.5,38,28.0,32,38.0,61.0,40.0,42,44.0,58.0,35.0,22.0,24,34,28.0,40.0,33.0,46.0,43.0,35.0,38.0,41.0,49.0,35.0,47.0,45.0,21.0,37.0,27.0,16.0,26,10.0,11.0,23.0,7.0,15.5,15.5,23,12.0,14,15,14.0,16.0,17.0,17.0,52.0,21.0,40.0,16.0,18.0,9.0,6.0,5.0,4.0,10.0,7.0,9.0,21.0,13.0,8.0,11.0,8,5.0,49.0,21.0,12.75,15.0,12,19,15,6.0,16.0,17.0,9.0,13.0
2021_02_10,39.0,27,30.0,32,24.0,26,28.0,52.0,39.0,40,39.0,56.0,35.0,22.0,25,44,31.0,27.0,22.0,30.0,53.0,23.0,23.0,18.0,22.0,11.0,33.0,16.0,19.0,20.0,18.0,19.0,18,12.0,17.0,11.0,9.0,14.333333333333334,14.333333333333332,25,16.0,19,23,20.0,21.0,16.0,19.0,22.0,6.0,15.0,12.0,19.0,12.0,13.0,14.0,9.0,18.0,9.0,14.0,21.0,19.0,11.0,17.0,14,11.0,43.0,19.0,16.4375,14.0,14,14,14,4.0,17.0,20.0,10.0,15.0
2021_02_11,34.0,29,39.0,31,27.0,23,25.0,53.0,33.0,33,35.0,47.0,38.0,30.0,27,51,38.0,28.0,23.0,44.0,62.0,33.0,44.0,27.0,31.0,22.0,44.0,33.0,23.0,34.0,24.0,30.0,30,17.0,30.0,20.0,17.0,24.0,24.0,38,31.0,28,34,29.0,24.0,23.0,27.0,25.0,13.0,26.0,17.0,23.0,20.0,28.0,21.0,19.0,21.0,14.0,21.0,24.0,22.0,13.0,28.0,17,14.0,61.0,31.0,23.5625,12.0,13,14,13,3.0,16.0,20.0,9.0,14.5
2021_02_12,43.0,37,42.0,36,34.0,27,26.0,60.0,40.0,40,37.0,48.0,43.0,39.0,35,60,43.0,31.0,26.0,45.0,53.0,39.0,37.0,35.0,44.0,38.0,52.0,29.0,23.0,36.0,28.0,37.0,38,29.0,34.0,25.0,23.0,31.0,31.0,44,30.0,24,38,28.0,41.0,32.0,31.0,30.0,26.0,44.0,22.0,33.0,25.0,41.0,31.0,28.0,32.0,20.0,31.0,28.0,30.0,20.0,40.0,27,26.0,54.0,38.0,31.5,15.0,12,16,14,4.0,11.0,19.0,10.0,14.5
2021_02_13,34.0,30,46.0,37,30.0,31,29.0,41.0,39.0,34,43.0,59.0,35.0,26.0,24,44,40.0,36.0,37.0,35.0,26.0,48.0,32.0,42.0,60.0,49.0,47.0,44.0,16.0,43.0,38.0,38.0,41,40.0,36.0,38.0,27.0,36.666666666666664,36.66666666666667,42,27.0,28,31,28.0,28.0,33.0,32.0,47.0,30.0,43.0,28.0,44.0,31.0,48.0,33.0,45.0,40.0,30.0,50.0,27.0,40.0,30.0,43.0,35,38.0,57.0,47.0,39.875,18.0,16,21,16,3.0,20.0,21.0,13.0,17.0
