,Date,02T,05T
315,11_12,27.0,20
316,11_13,26.0,18
317,11_14,28.0,22
318,11_15,30.0,21
319,11_16,23.0,13
320,11_17,15.0,11
321,11_18,18.0,15
322,11_19,30.0,16
323,11_20,31.0,26
324,11_21,26.0,27
325,11_22,31.0,25
326,11_23,17.0,18
327,11_24,17.0,18
328,11_25,26.0,28
329,11_26,29.0,29
330,11_27,27.0,28
331,11_28,32.0,33
332,11_29,27.0,30
333,11_30,28.0,34
334,12_01,35.0,36
335,12_02,35.0,35
336,12_03,35.0,35
337,12_04,33.0,37
338,12_05,37.0,39
339,12_06,39.0,39
340,12_07,48.0,46
341,12_08,46.0,41
342,12_09,33.0,32
343,12_10,34.0,32
344,12_11,36.0,34
345,12_12,29.0,27
346,12_13,28.0,30
347,12_14,42.0,50
348,12_15,46.0,52
349,12_16,51.0,49
350,12_17,40.0,38
351,12_18,29.0,31
352,12_19,28.0,28
353,12_20,47.0,48
354,12_21,60.0,62
355,12_22,68.0,71
356,12_23,68.0,60
357,12_24,56.0,51
358,12_25,23.0,23
359,12_26,26.0,21
360,12_27,36.0,29
361,12_28,19.0,17
362,12_29,19.0,19
363,12_30,23.0,23
364,12_31,23.0,25
