,Date,02T,05T,10T
0,01_01,27.0,20,22.0
1,01_02,32.0,25,26.0
2,01_03,46.0,37,33.0
3,01_04,39.0,31,32.0
4,01_05,50.0,31,31.0
5,01_06,57.0,32,36.0
6,01_07,37.0,26,30.0
7,01_08,26.0,21,24.0
8,01_09,23.0,19,13.0
9,01_10,30.0,27,20.0
10,01_11,35.0,27,20.0
11,01_12,33.0,26,19.0
12,01_13,54.0,48,32.0
13,01_14,76.0,71,40.0
14,01_15,83.0,83,56.0
15,01_16,67.0,66,36.5
16,01_17,48.0,44,48.0
17,01_18,34.0,29,32.0
18,01_19,55.0,45,50.0
19,01_20,74.0,59,60.0
20,01_21,80.0,67,57.0
21,01_22,102.0,88,70.0
22,01_23,73.0,63,33.5
23,01_24,34.0,30,29.0
24,01_25,25.0,18,27.0
25,01_26,31.0,20,29.0
26,01_27,35.0,29,30.0
27,01_28,38.0,31,31.0
28,01_29,44.0,36,38.0
29,01_30,45.0,42,38.0
30,01_31,49.0,41,40.0
31,02_01,73.0,64,50.0
32,02_02,62.0,47,46.0
33,02_03,63.0,58,48.0
34,02_04,62.0,49,44.0
35,02_05,58.0,47,43.0
36,02_06,60.0,42,39.0
37,02_07,58.0,52,43.0
38,02_08,31.0,26,28.0
39,02_09,40.0,27,23.5
40,02_10,39.0,27,30.0
41,02_11,34.0,29,39.0
42,02_12,43.0,37,42.0
43,02_13,34.0,30,46.0
44,02_14,29.0,25,34.0
45,02_15,26.0,22,34.0
46,02_16,28.0,25,36.0
47,02_17,34.0,30,42.0
48,02_18,50.0,45,49.0
49,02_19,41.0,38,42.0
50,02_20,44.0,40,45.0
51,02_21,60.0,52,57.0
52,02_22,49.0,43,54.0
53,02_23,40.0,35,46.0
54,02_24,40.0,34,44.0
55,02_25,48.0,44,50.0
56,02_26,52.0,43,48.0
57,02_27,52.0,44,48.0
58,02_28,44.0,39,46.0
59,03_01,26.0,20,30.0
60,03_02,16.0,12,21.0
61,03_03,12.0,10,21.0
62,03_04,19.0,15,29.0
63,03_05,19.0,15,27.0
64,03_06,21.0,16,30.0
65,03_07,19.0,16,29.0
66,03_08,25.0,21,32.0
67,03_09,22.0,17,34.0
68,03_10,28.0,23,42.0
69,03_11,30.0,27,42.0
70,03_12,30.0,23,41.0
71,03_13,26.0,21,39.0
72,03_14,27.0,21,34.0
73,03_15,24.0,21,34.0
74,03_16,27.0,22,36.0
75,03_17,30.0,25,39.0
76,03_18,38.0,34,40.0
77,03_19,33.0,27,25.0
78,03_20,33.0,28,29.0
79,03_21,24.0,21,25.0
80,03_22,51.0,38,38.0
81,03_23,42.0,37,37.0
82,03_24,47.0,40,46.0
83,03_25,37.0,34,40.0
84,03_26,20.0,16,20.0
85,03_27,16.0,12,17.0
86,03_28,18.0,15,18.0
87,03_29,18.0,14,19.0
88,03_30,21.0,15,19.0
89,03_31,28.0,20,25.0
90,04_01,20.0,16,19.0
91,04_02,10.0,6,11.0
92,04_03,14.0,10,11.0
93,04_04,17.0,12,8.0
94,04_05,34.0,28,23.0
95,04_06,31.0,27,23.0
96,04_07,30.0,27,19.0
97,04_08,32.0,32,22.0
98,04_09,20.0,18,18.0
99,04_10,26.0,26,22.0
100,04_11,27.0,23,20.0
101,04_12,27.0,21,26.0
102,04_13,20.0,16,18.0
103,04_14,16.0,11,16.0
104,04_15,23.0,15,17.0
105,04_16,18.0,14,17.0
106,04_17,17.0,16,17.0
107,04_18,17.0,11,18.0
108,04_19,12.0,8,12.0
109,04_20,15.0,9,14.0
110,04_21,14.0,11,19.0
111,04_22,27.0,15,26.0
112,04_23,21.0,19,21.0
113,04_24,22.0,20,18.0
114,04_25,26.0,19,19.0
115,04_26,26.0,19,27.0
116,04_27,19.0,16,27.0
117,04_28,28.0,23,19.0
118,04_29,17.0,13,20.0
119,04_30,18.0,16,20.0
120,05_01,17.0,12,21.0
121,05_02,21.0,21,15.0
122,05_03,25.0,20,14.0
123,05_04,24.0,23,21.0
124,05_05,28.0,25,25.0
125,05_06,19.0,18,16.0
126,05_07,15.0,13,13.0
127,05_08,25.0,24,21.0
128,05_09,19.0,18,20.5
129,05_10,19.0,13,14.0
130,05_11,15.0,12,15.0
131,05_12,14.0,8,14.0
132,05_13,11.0,7,14.0
133,05_14,13.0,7,11.0
134,05_15,13.0,8,12.0
135,05_16,10.0,6,13.0
136,05_17,15.0,10,13.0
137,05_18,10.0,5,12.0
138,05_19,14.0,11,10.0
139,05_20,12.0,8,11.0
140,05_21,10.0,6,11.0
141,05_22,12.0,8,11.0
142,05_23,11.0,8,9.0
143,05_24,12.0,8,11.0
144,05_25,14.0,8,12.0
145,05_26,16.0,13,14.0
146,05_27,18.0,13,17.0
147,05_28,13.0,9,12.0
148,05_29,9.0,7,9.0
149,05_30,7.0,4,11.0
150,05_31,11.0,9,9.0
151,06_01,12.0,11,14.0
152,06_02,13.0,11,13.0
153,06_03,12.0,10,13.0
154,06_04,12.0,10,12.0
155,06_05,11.0,10,13.0
156,06_06,11.0,10,11.0
157,06_07,10.0,7,11.0
158,06_08,12.0,7,8.0
159,06_09,10.0,6,8.0
160,06_10,12.0,7,10.0
161,06_11,16.0,12,12.0
162,06_12,19.0,16,14.0
163,06_13,18.0,12,11.0
164,06_14,10.0,9,11.0
165,06_15,11.0,9,8.0
166,06_16,8.0,5,7.0
167,06_17,11.0,11,9.0
168,06_18,13.0,9,9.0
169,06_19,11.0,9,8.0
170,06_20,13.0,10,13.0
171,06_21,19.0,17,21.0
