,Date,02T,05T,10T,11T,12T,59T,61T
279,10_07,21.0,20,15.0,15,15.0,15,17.0
280,10_08,38.0,29,20.0,29,28.0,26,22.0
281,10_09,13.0,7,9.0,9,10.0,8,14.0
282,10_10,14.0,6,9.0,9,10.0,9,13.0
283,10_11,11.0,6,10.0,9,10.0,6,13.0
284,10_12,12.0,7,8.0,9,9.0,7,13.0
285,10_13,12.0,6,7.0,6,6.0,5,12.0
286,10_14,15.0,8,8.0,10,9.0,9,14.0
287,10_15,14.0,10,10.0,11,11.0,10,15.0
288,10_16,14.0,10,9.0,12,13.0,11,15.0
289,10_17,11.0,6,6.0,7,7.0,7,11.0
290,10_18,13.0,7,8.0,9,9.0,8,14.0
291,10_19,21.0,14,14.0,15,17.0,15,18.0
292,10_20,28.0,23,21.0,20,19.0,18,21.0
293,10_21,33.0,25,22.0,24,26.0,23,22.0
294,10_22,22.0,15,14.0,15,17.0,14,18.0
295,10_23,17.0,11,10.0,11,11.0,10,16.0
296,10_24,16.0,8,11.0,10,11.0,10,15.0
297,10_25,19.0,10,12.0,14,14.0,11,16.0
298,10_26,22.0,17,17.0,18,19.0,18,18.0
299,10_27,26.0,20,19.0,21,19.0,20,20.0
300,10_28,28.0,24,22.0,24,23.0,23,21.0
301,10_29,21.0,18,17.0,18,18.0,16,19.0
302,10_30,28.0,24,22.0,23,20.0,22,26.0
303,10_31,18.0,11,13.0,11,11.0,10,27.25
304,11_01,20.0,13,12.0,13,15.0,12,28.25
305,11_02,21.0,15,17.0,17,17.0,16,30.25
306,11_03,20.0,14,14.0,15,16.0,14,30.5
307,11_04,27.0,17,17.0,17,21.0,15,18.0
308,11_05,25.0,18,17.0,17,21.0,16,18.0
309,11_06,31.0,20,23.0,23,22.0,24,22.0
310,11_07,28.0,16,14.0,18,20.0,15,18.0
311,11_08,21.0,16,18.0,18,18.0,15,18.0
312,11_09,17.0,11,13.0,13,14.0,10,16.0
313,11_10,22.0,12,20.0,17,16.0,17,18.0
314,11_11,26.0,17,23.0,24,22.0,20,21.0
315,11_12,27.0,20,23.0,25,25.0,21,22.0
316,11_13,26.0,18,22.0,26,23.0,19,20.0
317,11_14,28.0,22,25.0,30,27.0,23,22.0
318,11_15,30.0,21,25.0,27,27.0,24,25.0
319,11_16,23.0,13,17.0,15,18.0,14,17.0
320,11_17,15.0,11,13.0,13,14.0,9,15.0
321,11_18,18.0,15,16.0,14,18.0,13,16.0
322,11_19,30.0,16,17.0,18,20.0,16,17.0
323,11_20,31.0,26,19.0,27,22.0,21,19.0
324,11_21,26.0,27,24.0,24,24.0,20,21.0
325,11_22,31.0,25,19.0,22,25.0,19,20.0
326,11_23,17.0,18,12.0,13,17.0,11,16.0
327,11_24,17.0,18,16.0,13,15.0,12,16.0
328,11_25,26.0,28,23.0,22,22.0,21,20.0
329,11_26,29.0,29,23.0,26,25.0,23,23.0
330,11_27,27.0,28,21.0,23,22.0,22,21.0
331,11_28,32.0,33,26.0,28,24.0,25,23.0
332,11_29,27.0,30,22.0,24,23.0,23,22.0
333,11_30,28.0,34,25.0,26,26.0,23,24.0
334,12_01,35.0,36,28.0,30,29.0,28,27.0
335,12_02,35.0,35,26.0,32,29.0,28,26.0
336,12_03,35.0,35,28.0,32,29.0,26,26.0
337,12_04,33.0,37,24.0,28,30.0,27,25.0
338,12_05,37.0,39,28.0,39,29.0,28,27.0
339,12_06,39.0,39,28.0,36,30.0,32,29.0
340,12_07,48.0,46,31.0,45,35.0,40,33.0
341,12_08,46.0,41,32.0,36,35.0,38,31.0
342,12_09,33.0,32,24.0,33,26.0,25,26.0
343,12_10,34.0,32,22.0,30,25.0,25,23.0
344,12_11,36.0,34,25.0,31,28.0,24,25.0
345,12_12,29.0,27,22.0,29,20.0,22,23.0
346,12_13,28.0,30,21.0,23,23.0,20,21.0
347,12_14,42.0,50,33.0,38,34.0,34,33.0
348,12_15,46.0,52,39.0,38,39.0,36,37.0
349,12_16,51.0,49,39.0,42,41.0,40,40.0
350,12_17,40.0,38,32.0,34,30.0,33,31.0
351,12_18,29.0,31,21.0,26,30.5,22,20.0
352,12_19,28.0,28,21.0,20,23.0,21,39.0
353,12_20,47.0,48,35.0,40,36.0,36,36.0
354,12_21,60.0,62,50.0,46,52.0,54,51.0
355,12_22,68.0,71,54.0,61,58.0,56,54.0
356,12_23,68.0,60,49.0,45,51.0,54,47.0
357,12_24,56.0,51,34.0,41,43.0,38,37.0
358,12_25,23.0,23,17.0,13,24.0,18,19.0
359,12_26,26.0,21,18.0,18,19.0,17,20.0
360,12_27,36.0,29,23.0,23,27.0,23,24.0
361,12_28,19.0,17,15.0,11,17.0,11,17.0
362,12_29,19.0,19,13.0,15,16.0,14,18.0
363,12_30,23.0,23,18.0,18,18.0,15,19.0
364,12_31,23.0,25,18.0,20,19.0,17,21.0
