Date,05T,10T,11T,59T,61T,03T,50T,52T,53T,54T,08T,17T,18T,19T,14T,27T,20T,21T,24T,25T,26T,79T,46T,72T,29T,30T,31T,32T,33T,34T,71T,77T,35T,36T,37T,38T,39T,40T,41T,57T,73T,58T,67T,75T,68T,69T,70T,76T,42T,44T,62T,63T,80T
2018_08_29,20.0,,,19.0,19.0,,25.0,23.0,21,31.0,22.0,,14.0,15.0,,22.0,,,11.0,,12.0,10.0,15.0,,23.0,11.0,,16.0,,,,16.0,16.0,11.0,,,,8.0,,17.0,,4.0,6.0,5.0,10.0,,,7.0,,10.0,10.0,18,5.0
2018_08_30,13.0,,,10.0,11.0,,14.0,13.0,11,23.0,17.0,,9.0,11.0,,15.0,,,12.0,,9.0,5.0,19.0,,21.0,7.0,22.0,11.0,,,,15.0,21.0,21.0,,,,12.0,,40.0,,6.0,9.0,7.0,13.0,,,10.0,,10.0,8.0,14,4.0
2018_08_31,14.0,,,11.0,12.0,,16.0,13.0,12,15.0,19.0,,9.0,10.0,,18.0,,,13.0,,11.0,6.0,23.0,,13.0,7.0,19.0,11.0,,,,14.0,18.0,19.0,,,,7.0,,,,4.0,8.0,7.0,10.0,,,9.0,,11.0,8.0,9,4.0
2018_09_01,14.0,,,12.0,16.0,,20.0,17.0,15,33.0,19.0,,10.0,13.0,,17.0,,,12.0,,13.0,7.0,18.0,,19.0,10.0,20.0,13.0,,,,15.0,15.0,10.0,,,,9.0,,42.0,,5.0,11.0,5.0,9.0,,,10.0,,16.0,12.0,18,12.0
2018_09_02,14.0,,,12.0,15.0,,19.0,15.0,16,36.0,21.0,,12.0,15.0,,19.0,,,17.0,,13.0,8.0,21.0,,18.0,6.0,,11.0,,,,19.0,15.0,12.0,,,,9.0,,42.0,,5.0,10.0,7.0,11.0,,,11.0,,15.0,11.0,15,12.0
2018_09_03,10.0,,,10.0,13.0,,16.0,15.0,14,31.0,18.0,,8.0,12.0,,15.0,,,17.0,,14.0,9.0,19.0,,13.0,7.0,18.0,10.0,,,,16.0,15.0,18.0,,,,8.0,,46.0,,6.0,6.0,4.0,15.0,,,12.0,,13.0,12.0,14,7.0
2018_09_04,11.0,,,7.0,12.0,,15.0,12.0,11,33.0,18.0,,9.0,16.0,,9.0,,,7.0,,11.0,9.0,16.0,,10.0,7.0,18.0,11.0,,,,11.0,14.0,13.0,,,,8.0,,33.0,,4.0,8.0,11.0,12.0,,,10.0,,12.0,9.0,12,7.0
2018_09_05,15.0,,,8.0,14.0,,18.0,16.0,12,28.0,20.0,,10.0,17.0,,13.0,,,11.0,,12.0,6.0,15.0,,14.0,5.0,15.0,9.0,,,,13.0,13.0,9.0,,,,8.0,,23.0,,4.0,10.0,6.0,10.0,,,8.0,,9.0,8.0,15,7.0
2018_09_06,17.0,,,10.0,17.0,,23.0,20.0,16,33.0,23.0,,20.0,20.0,,7.0,,,21.0,,17.0,11.0,15.0,,17.0,13.0,18.0,15.0,,,,19.0,14.0,14.0,,,,12.0,,8.0,,5.0,11.0,7.0,13.0,,,12.0,,11.0,8.0,15,10.0
2018_09_07,19.0,,,19.0,19.0,,23.0,19.0,21,22.0,24.0,,17.0,21.0,,9.0,,,26.0,,18.0,14.0,24.0,,23.0,14.0,21.0,19.0,,,,25.0,19.0,13.0,,,,14.0,,9.0,,8.0,12.0,6.0,16.0,,,18.0,,12.0,10.0,15,6.0
2018_09_08,22.0,,,19.0,22.0,,28.0,25.0,23,41.0,31.0,,24.0,26.0,,12.0,,,36.0,,17.0,15.0,19.0,,27.0,21.0,27.0,25.0,,,,19.0,15.0,10.0,,,,11.0,,5.0,,10.0,10.0,7.0,16.0,,,16.0,,12.0,11.0,15,7.0
2018_09_09,26.0,,,26.0,28.0,,34.0,34.0,32,50.0,32.0,,24.0,31.0,,17.0,,,31.0,,21.0,12.0,17.0,,20.0,16.0,18.0,32.0,,,,14.0,15.0,10.0,,,,12.0,,7.0,,5.0,8.0,6.0,13.0,,,13.0,,16.0,8.0,15,7.0
2018_09_10,29.0,,,27.0,31.0,,39.0,35.0,32,52.0,40.0,,27.0,30.0,,14.0,,,30.0,,15.0,7.0,18.0,,17.0,15.0,13.0,32.0,,,,18.0,17.0,9.0,,,,11.0,,7.0,,4.0,10.0,6.0,13.0,,,14.0,,13.0,9.0,11,8.0
2018_09_11,17.0,,,13.0,16.0,,21.0,17.0,16,29.0,21.0,,16.0,18.0,,30.0,,,28.0,,12.0,11.0,26.0,,9.0,13.0,10.0,16.0,,,,23.0,15.0,11.0,,,,12.0,,10.0,,6.0,13.0,8.0,14.0,,,17.0,,16.0,9.0,13,8.0
