Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,81T,21T,24T,25T,26T,79T,46T,47T,72T,28T,29T,30T,31T,74T,32T,33T,34T,60T,71T,77T,35T,36T,37T,38T,39T,40T,41T,57T,73T,58T,67T,75T,68T,69T,70T,76T,42T,43T,44T,62T,63T,78T,80T
2019_05_18,,23.0,26.0,27.0,,26.0,31.0,39.0,33.0,28,30,38.0,36.0,,30.0,29.0,21,26.0,,35.0,23.0,27.0,,24.0,29.0,29.0,34.0,23.0,39.0,,26.0,20.0,20.0,21.0,23.0,,28.0,26.0,24,22.0,23.0,28.0,45,40.0,34.0,32.0,40.0,36.0,30.0,31.0,30.0,17.0,44,45.0,39.0,38.0,,27.0,25.0,,22.5,11.0,14.0,,9
2019_05_19,,20.0,23.0,23.0,,22.0,26.0,31.0,29.0,25,26,34.0,29.0,,22.0,28.0,20,22.0,,31.0,17.0,25.0,,28.0,32.0,32.0,30.0,21.0,41.0,,27.0,19.0,17.0,18.0,20.0,,24.0,26.0,19,20.0,19.0,27.0,43,33.0,29.0,34.0,37.0,33.0,25.0,41.0,52.0,13.0,39,54.0,33.0,34.0,,25.0,21.0,,15.5,10.0,15.0,,15
2019_05_20,,17.0,24.0,21.0,,20.0,26.0,25.0,27.0,21,25,34.0,30.0,,26.0,25.0,18,20.0,,27.0,16.0,22.0,,22.0,27.0,25.0,27.0,17.0,37.0,,28.0,16.0,20.0,19.0,20.0,,24.0,19.0,18,14.0,16.0,22.0,41,34.0,32.0,32.0,34.0,32.0,25.0,50.0,64.0,14.0,42,78.0,38.0,36.0,,27.0,19.0,,15.5,11.0,13.0,,10
2019_05_21,,16.0,20.0,20.0,,20.0,24.0,33.0,27.0,20,24,31.0,30.0,,18.0,22.0,17,20.0,,31.0,21.0,27.0,,24.0,21.0,25.0,27.0,17.0,31.0,,24.0,19.0,17.0,17.0,17.0,,23.0,23.0,16,17.0,16.0,21.0,35,27.0,20.0,19.0,,22.0,25.0,41.0,67.0,13.0,20,46.0,30.0,17.0,,27.0,18.0,,15.5,11.0,13.0,,7
2019_05_22,,16.0,16.0,16.0,,16.0,16.0,30.0,23.0,15,20,28.0,24.0,,10.0,23.0,19,15.0,,21.0,16.0,14.0,,14.0,21.0,25.0,25.0,12.0,21.0,,,14.0,18.0,15.0,18.0,,24.0,18.0,15,19.0,15.0,26.0,19,10.0,6.0,8.0,,10.0,13.0,21.0,27.0,16.0,16,26.0,13.0,9.0,,16.0,17.0,,16.5,10.0,11.0,,5
2019_05_23,,16.0,18.0,17.0,,12.0,21.0,36.0,24.0,18,22,28.0,36.0,,25.0,22.0,19,16.0,,26.0,18.0,20.0,,14.0,22.0,14.0,20.0,8.0,20.0,,12.0,16.0,21.0,16.0,19.0,,17.0,18.0,15,17.0,11.0,19.0,20,15.0,12.0,12.0,12.0,13.0,10.0,18.0,23.0,,18,29.0,18.0,12.0,,18.0,15.0,,11.0,13.0,13.0,,8
2019_05_24,,15.0,18.0,15.0,,16.0,20.0,30.0,24.0,19,22,25.0,24.0,,23.0,21.0,16,17.0,,22.0,15.0,28.0,,12.0,17.0,16.0,27.0,10.0,20.0,,11.0,9.0,10.0,12.0,9.0,,15.0,16.0,11,7.0,,16.0,28,20.0,18.0,17.0,18.0,21.0,14.0,24.0,25.0,8.0,20,25.0,27.0,19.0,,22.0,16.0,,13.5,14.0,15.0,,11
2019_05_25,,18.0,20.0,20.0,,20.0,20.0,38.0,26.0,20,23,28.0,23.0,,12.0,22.0,15,20.0,,28.0,16.0,23.0,,18.0,21.0,19.0,31.0,16.0,24.0,,12.0,10.0,10.0,12.0,12.0,,15.0,17.0,11,9.0,10.0,22.0,30,22.0,21.0,21.0,18.0,13.5,18.0,22.0,26.0,,20,22.0,29.0,16.0,,16.0,15.0,,11.5,9.0,16.0,,9
2019_05_26,,14.0,16.0,15.0,,15.0,17.0,30.0,21.0,15,18,24.0,26.0,,10.0,18.0,14,15.0,,24.0,17.0,16.0,,16.0,14.0,16.0,25.0,14.0,28.0,,14.0,9.0,11.0,14.0,9.0,,11.0,,7,9.0,11.0,18.0,26,23.0,17.0,16.0,15.0,20.0,16.0,19.0,21.0,11.0,18,18.0,25.0,18.0,,12.0,11.0,,15.0,16.0,25.0,,16
2019_05_27,,9.0,11.0,14.0,,13.0,15.0,31.0,18.0,13,15,22.0,16.0,,7.0,16.0,15,13.0,,23.0,10.0,,,14.0,17.0,12.0,23.0,8.0,24.0,,19.0,8.0,8.0,10.0,9.0,,10.0,10.0,7,7.0,11.0,19.0,27,21.0,17.0,16.0,16.0,20.0,20.0,18.0,30.0,11.0,17,20.0,25.0,23.0,,15.0,11.0,,17.0,20.0,33.0,,16
