Date,05T,59T,61T,50T,52T,53T,54T,08T,19T,27T,24T,26T,79T,46T,30T,32T,77T,35T,36T,40T,75T,76T,44T,62T,63T,80T
2017_11_15,24.0,,31.0,38.0,43.0,21.0,,43.0,38.0,,,,29.0,19.0,,40.0,24.0,23.0,18.0,15.0,14.0,24.0,,,12.0,4.0
2017_11_16,18.0,,21.0,24.0,27.0,15.0,,23.0,25.0,,,,21.0,12.0,25.0,31.0,20.0,24.0,18.0,19.0,11.0,22.0,,5.0,17.0,8.0
2017_11_17,25.0,,30.0,32.0,40.0,19.0,,34.0,37.0,,53.0,22.0,22.0,17.0,45.0,37.0,24.0,26.0,18.0,13.0,10.0,16.0,,6.0,18.0,9.0
2017_11_18,42.0,,45.0,45.0,56.0,25.0,,54.0,43.0,40.0,54.0,21.0,22.0,17.0,37.0,40.0,50.0,19.0,17.0,14.0,10.0,21.0,,11.0,16.0,11.0
2017_11_19,28.0,,36.0,37.0,45.0,25.0,,37.0,37.0,30.0,52.0,17.0,15.0,13.0,27.0,38.0,39.0,22.0,18.0,16.0,13.0,20.0,,8.0,18.0,9.0
2017_11_20,14.0,,19.0,23.0,28.0,16.0,,24.0,19.0,27.0,37.0,11.0,13.0,11.0,15.0,12.0,11.0,24.0,,15.0,15.0,16.0,,7.0,16.0,12.0
2017_11_21,11.0,,17.0,19.0,24.0,13.0,,17.0,19.0,,,10.0,13.0,10.0,13.0,,12.0,23.0,,14.0,9.0,14.0,,6.0,,7.0
2017_11_22,19.0,,22.0,27.0,34.0,16.0,,26.0,25.0,,24.0,15.0,16.0,11.0,14.0,20.0,17.0,20.0,,11.0,,24.0,,5.0,,8.0
2017_11_23,10.0,15.0,17.0,17.0,23.0,12.0,,19.0,19.0,,20.0,21.0,19.0,9.0,11.0,14.0,13.0,23.0,18.0,14.0,10.0,22.0,,,13.0,5.0
2017_11_24,10.0,20.0,18.0,20.0,26.0,13.0,,17.0,16.0,,15.0,21.0,21.0,,8.0,14.0,15.0,25.0,17.0,11.0,11.0,20.0,,,14.0,7.0
2017_11_25,20.0,23.0,29.0,29.0,35.0,20.0,,30.0,21.0,,31.0,23.0,21.0,,10.0,20.0,18.0,24.0,14.0,,14.0,19.0,,,14.0,6.0
