Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,13T,14T,16T,17T,18T,19T,20T,21T,22T,24T,25T,26T,27T,41T,79T,81T,28T,29T,30T,31T,32T,33T,34T,60T,71T,74T,77T,35T,36T,37T,38T,39T,40T,57T,58T,67T,68T,69T,70T,73T,75T,76T,42T,44T,62T,63T,78T,43T,80T,46T,47T,72T
2019-01-11,69.58333333333333,62.0,69.0,64.0,69.58333333333333,59.0,87.0,81.0,83.0,81,81,87.0,76.0,74.0,78.0,69.58333333333333,54.0,48.0,62,57.0,72.0,69.58333333333333,82.0,56.0,66.0,63.0,57.0,71.0,69.58333333333333,47.42857142857143,55.0,47.42857142857143,44.0,47.0,42.0,40,47.42857142857143,57.0,47.42857142857143,47.0,23,19.0,35.0,31.0,32.0,41.0,18.0,8.0,29,30.0,33.0,28.0,18.0,20.0,35.0,13.0,15.0,15.0,17.0,15.0,11.0,11,45.0,34.0,23.0
2019-01-12,62.041666666666664,52.0,52.0,52.0,62.04166666666666,53.0,60.0,72.0,62.0,63,65,68.0,70.0,64.0,73.0,62.041666666666664,51.0,50.0,56,65.0,70.0,62.041666666666664,77.0,58.0,75.0,61.0,50.0,70.0,62.04166666666667,46.714285714285715,49.0,46.714285714285715,43.0,47.0,41.0,39,46.714285714285715,58.0,46.714285714285715,50.0,24,20.0,39.0,26.857142857142858,32.0,40.0,18.0,6.0,27,34.0,35.0,27.0,13.0,20.0,41.0,14.0,14.666666666666666,12.0,18.0,14.666666666666666,8.0,8,37.0,32.0,27.0
2019-01-13,66.04347826086956,63.0,60.0,62.0,66.04347826086956,55.0,65.0,88.0,70.0,74,66,74.0,87.0,68.0,71.0,66.04347826086956,62.0,61.0,55,63.0,66.04347826086956,66.04347826086956,56.0,51.0,76.0,85.0,47.0,60.0,66.04347826086955,51.25,52.0,42.0,51.0,63.0,49.0,45,51.25,57.0,51.25,51.0,25,23.0,30.0,23.0,23.0,32.0,21.0,6.0,28,34.0,32.0,22.0,12.0,19.0,42.0,9.0,12.0,12.0,15.0,12.0,7.0,7,38.0,32.0,26.0
2019-01-14,65.04347826086956,58.0,56.0,59.0,65.04347826086956,57.0,71.0,86.0,64.0,73,65,79.0,81.0,68.0,86.0,65.04347826086956,58.0,54.0,62,55.0,65.04347826086956,65.04347826086956,68.0,51.0,65.0,81.0,46.0,53.0,65.04347826086955,55.375,60.0,53.0,50.0,57.0,55.0,58,55.375,64.0,55.375,46.0,24,19.0,28.0,23.0,20.0,29.0,20.0,6.0,24,39.0,30.0,22.0,14.0,17.0,43.0,17.0,18.333333333333332,18.0,20.0,18.333333333333332,11.0,11,27.0,27.0,27.0
2019-01-15,54.0,48.0,47.0,53.0,54.0,46.0,60.0,68.0,48.0,50,58,68.0,60.0,55.0,58.0,54.0,45.0,34.0,49,58.0,58.0,54.0,73.0,54.0,61.0,34.0,46.0,65.0,54.0,44.375,44.0,29.0,41.0,39.0,41.0,43,44.375,74.0,44.375,44.0,26,21.0,30.0,27.0,23.0,36.0,27.0,6.0,24,31.0,30.0,25.0,18.0,16.0,40.0,22.0,21.0,19.0,22.0,21.0,16.0,16,27.0,27.0,27.0
2019-01-16,47.52173913043478,38.0,40.0,39.0,47.52173913043478,38.0,48.0,54.0,39.0,44,48,50.0,52.0,54.0,54.0,47.52173913043478,41.0,39.0,43,48.0,59.0,47.52173913043478,54.0,47.52173913043478,60.0,54.0,44.0,53.0,47.521739130434774,41.625,50.0,39.0,41.0,31.0,39.0,40,41.625,53.0,41.625,40.0,20,13.0,43.0,30.0,32.0,42.0,21.0,7.0,20,27.0,35.0,29.0,17.0,14.0,44.0,20.5,20.5,18.0,23.0,20.5,14.0,14,29.0,24.5,20.0
2019-01-17,50.13636363636363,45.0,45.0,42.0,50.13636363636363,38.0,51.0,53.0,51.0,49,49,52.0,58.0,44.0,56.0,50.13636363636363,47.0,44.0,45,50.13636363636364,44.0,50.13636363636363,52.0,50.13636363636363,59.0,77.0,44.0,58.0,50.13636363636364,44.25,53.0,48.0,41.0,47.0,48.0,50,44.25,33.0,44.25,34.0,25,22.0,32.0,22.0,19.0,28.0,19.0,7.0,17,34.0,33.0,25.0,16.0,12.0,41.0,18.0,16.333333333333332,14.0,17.0,16.333333333333332,8.0,8,23.0,20.5,18.0
2019-01-18,35.82608695652174,26.0,31.0,32.0,35.82608695652174,32.0,35.0,35.0,38.0,34,35,40.0,38.0,34.0,46.0,35.82608695652174,27.0,27.0,33,36.0,22.0,35.82608695652174,35.0,35.82608695652174,59.0,60.0,28.0,41.0,35.82608695652174,25.0,33.0,30.0,25.0,25.0,23.0,26,25.0,15.0,25.0,23.0,30,29.0,30.0,19.0,17.0,23.0,21.0,8.0,18,41.0,27.0,22.0,16.0,13.0,43.0,13.0,16.0,17.0,18.0,16.0,10.0,10,28.0,24.5,21.0
2019-01-19,49.08695652173913,39.0,46.0,45.0,49.086956521739125,44.0,52.0,51.0,57.0,53,53,55.0,56.0,49.0,48.0,49.08695652173913,46.0,42.0,49,40.0,34.0,49.08695652173913,46.0,49.08695652173913,67.0,69.0,41.0,47.0,49.08695652173913,38.57142857142857,38.0,36.0,40.0,38.57142857142857,36.0,43,38.57142857142857,37.0,38.57142857142857,40.0,36,31.0,32.0,33.0,27.0,36.0,27.0,8.0,18,39.0,32.0,28.0,24.0,14.0,42.0,13.0,15.333333333333334,15.0,18.0,15.333333333333334,9.0,9,34.0,26.5,19.0
2019-01-20,60.56521739130435,50.0,49.0,52.0,60.56521739130435,44.0,60.0,80.0,62.0,64,62,57.0,67.0,62.0,68.0,60.56521739130435,57.0,54.0,66,51.0,52.0,60.565217391304344,68.0,60.56521739130435,72.0,89.0,51.0,56.0,60.56521739130434,51.625,59.0,46.0,54.0,44.0,52.0,49,51.625,61.0,51.625,48.0,31,25.0,36.0,36.0,26.0,37.0,29.0,6.0,24,39.0,37.0,32.0,25.0,16.0,41.0,21.0,19.666666666666668,19.0,19.0,19.666666666666668,10.0,10,45.0,33.0,21.0
2019-01-21,68.6086956521739,57.0,66.0,60.0,68.60869565217392,55.0,71.0,86.0,72.0,83,74,75.0,82.0,73.0,78.0,68.60869565217392,65.0,56.0,61,61.0,61.0,68.6086956521739,62.0,68.6086956521739,75.0,86.0,51.0,68.0,68.60869565217392,57.625,72.0,55.0,67.0,61.0,58.0,59,57.625,44.0,57.625,45.0,26,21.0,28.0,34.0,20.0,37.0,24.0,7.0,25,39.0,43.0,24.0,26.0,18.0,45.0,20.0,21.0,21.0,22.0,21.0,12.0,12,29.0,26.0,23.0
2019-01-22,51.86363636363637,40.0,40.0,43.0,51.86363636363637,39.0,52.0,59.0,52.0,50,50,52.0,57.0,47.0,73.0,51.86363636363637,46.0,42.0,46,53.0,52.0,51.86363636363636,51.86363636363637,51.86363636363637,65.0,67.0,46.0,70.0,51.86363636363635,46.375,54.0,46.0,51.0,60.0,48.0,51,46.375,28.0,46.375,33.0,30,26.0,35.0,37.0,28.0,43.0,29.0,7.0,21,44.0,41.0,25.0,28.0,18.0,44.0,25.0,24.0,23.0,24.0,24.0,15.0,15,27.0,22.5,18.0
2019-01-23,48.77272727272727,41.0,41.0,39.0,48.77272727272727,36.0,50.0,60.0,47.0,45,49,47.0,58.0,43.0,55.0,48.77272727272727,45.0,45.0,50,48.0,48.77272727272727,48.772727272727266,48.772727272727266,38.0,67.0,76.0,41.0,52.0,48.772727272727266,36.875,43.0,37.0,35.0,46.0,30.0,35,36.875,30.0,36.875,39.0,37,31.0,40.0,34.0,30.0,41.0,34.0,34.285714285714285,24,48.0,38.0,32.0,28.0,16.0,47.0,27.0,23.666666666666668,21.0,23.0,23.666666666666668,15.0,15,36.0,29.5,23.0
2019-01-24,52.82608695652174,48.0,45.0,39.0,52.82608695652174,36.0,51.0,55.0,46.0,43,45,46.0,56.0,38.0,56.0,52.82608695652174,45.0,48.0,49,51.0,52.82608695652174,52.82608695652174,74.0,59.0,80.0,76.0,56.0,73.0,52.82608695652174,43.5,40.0,39.0,37.0,51.0,43.0,45,43.5,42.0,43.5,51.0,31,23.0,39.0,37.0,32.0,45.0,23.0,32.42857142857143,28,43.0,47.0,29.0,11.0,20.0,46.0,24.0,25.0,24.0,27.0,25.0,20.0,20,48.0,42.0,36.0
2019-01-25,71.82608695652173,60.0,63.0,59.0,71.82608695652173,50.0,74.0,86.0,74.0,71,66,66.0,81.0,56.0,87.0,71.82608695652173,70.0,65.0,89,57.0,71.82608695652173,71.82608695652173,83.0,58.0,87.0,106.0,60.0,84.0,71.82608695652173,51.625,51.0,47.0,43.0,60.0,43.0,51,51.625,64.0,51.625,54.0,32,25.0,43.0,37.0,29.0,46.0,18.0,14.0,30,47.0,54.0,27.0,17.0,14.0,59.0,33.0,30.333333333333332,26.0,32.0,30.333333333333332,22.0,22,54.0,47.0,40.0
2019-01-26,61.916666666666664,51.0,50.0,52.0,61.91666666666666,46.0,64.0,72.0,60.0,58,61,57.0,70.0,52.0,70.0,61.916666666666664,51.0,54.0,62,63.0,56.0,61.916666666666664,66.0,53.0,89.0,103.0,50.0,76.0,61.91666666666667,56.875,65.0,57.0,48.0,62.0,54.0,56,56.875,51.0,56.875,62.0,30,27.0,40.0,34.0,22.0,40.0,26.0,33.0,27,42.0,47.0,24.0,23.0,17.0,70.0,36.0,31.666666666666668,25.0,34.0,31.666666666666668,21.0,21,37.0,34.0,31.0
2019-01-27,48.458333333333336,40.0,42.0,43.0,48.45833333333334,42.0,50.0,43.0,47.0,46,50,47.0,53.0,43.0,48.0,48.458333333333336,39.0,41.0,47,49.0,52.0,48.458333333333336,47.0,41.0,77.0,67.0,45.0,64.0,48.458333333333336,42.0,43.0,34.0,38.0,53.0,41.0,39,42.0,33.0,42.0,55.0,43,44.0,54.0,43.0,28.0,40.0,27.0,37.0,30,52.0,44.0,31.0,27.0,22.0,53.0,22.0,22.333333333333332,19.0,26.0,22.333333333333332,15.0,15,45.0,38.0,31.0
2019-01-28,61.083333333333336,55.0,54.0,51.0,61.08333333333334,49.0,65.0,63.0,60.0,57,63,59.0,66.0,51.0,62.0,61.083333333333336,54.0,57.0,62,55.0,56.0,61.083333333333336,61.0,50.0,82.0,103.0,58.0,73.0,61.08333333333333,50.75,49.0,46.0,42.0,59.0,46.0,54,50.75,44.0,50.75,66.0,44,44.0,45.0,45.0,30.0,46.0,36.0,60.0,34,53.0,45.0,32.0,31.0,20.0,73.0,34.0,28.0,25.0,25.0,28.0,16.0,16,46.0,40.5,35.0
2019-01-29,71.21739130434783,65.0,67.0,61.0,71.21739130434783,56.0,71.21739130434781,87.0,71.0,71,72,65.0,76.0,61.0,74.0,71.21739130434783,71.0,71.0,75,63.0,53.0,71.21739130434783,66.0,51.0,83.0,134.0,63.0,82.0,71.21739130434783,56.375,57.0,50.0,43.0,65.0,65.0,54,56.375,53.0,56.375,64.0,45,46.0,49.0,39.0,35.0,46.0,39.0,51.0,32,57.0,50.0,33.0,37.0,22.0,74.0,33.0,26.0,21.0,24.0,26.0,18.0,18,39.0,33.0,27.0
2019-01-30,86.54166666666667,79.0,84.0,81.0,86.54166666666669,70.0,94.0,104.0,92.0,84,89,90.0,93.0,78.0,86.0,86.54166666666667,77.0,92.0,84,88.0,79.0,86.54166666666667,91.0,72.0,89.0,113.0,68.0,100.0,86.54166666666667,61.875,56.0,44.0,50.0,74.0,62.0,74,61.875,70.0,61.875,65.0,47,47.0,49.0,51.0,47.0,53.0,40.0,30.0,30,62.0,55.0,39.0,39.0,23.0,75.0,24.0,20.333333333333332,17.0,20.0,20.333333333333332,12.0,12,46.0,38.0,30.0
2019-01-31,74.3913043478261,58.0,59.0,52.0,74.39130434782608,56.0,69.0,87.0,66.0,71,70,69.0,71.0,65.0,84.0,74.39130434782608,56.0,74.3913043478261,65,81.0,83.0,74.3913043478261,103.0,79.0,102.0,97.0,70.0,98.0,74.39130434782608,52.75,46.0,30.0,47.0,62.0,45.0,55,52.75,69.0,52.75,68.0,39,38.0,52.0,60.0,47.0,59.0,39.0,22.0,33,55.0,65.0,42.0,25.0,23.0,68.0,19.0,18.333333333333332,16.0,20.0,18.333333333333332,11.0,11,49.0,40.0,31.0
