Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,21T,24T,25T,26T,28T,29T,30T,31T,74T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,43T,44T,46T,47T,60T,62T,63T,78T,57T,73T,58T,67T,75T,68T,69T,70T,71T,72T,76T,77T,79T,80T,81T,82T,83T,84T
2020-01-13,33.0,33,26.0,36.0,33.0,30.0,34.0,39.0,42.0,39.0,38.0,45.0,47,31,34,47.0,30.0,40.0,37.0,41.0,27.0,40.0,44.0,63.0,55.0,45.0,32.0,27.0,27.0,26.0,29.0,34.0,37.0,31,86.0,80.0,106,82.0,88.0,96.0,51,25.0,18.0,16.0,42,49.0,35.0,18.0,22.0,18.0,38.0,42.0,26.0,45.0,40.0,66.0,87,54,53.0,40.0,72.0,47.0,62,16.0,32.0,,,
2020-01-14,34.0,36,27.0,35.0,30.0,29.0,35.0,42.0,37.0,34.0,38.0,47.0,44,30,28,41.0,31.0,37.0,36.0,44.0,25.0,36.0,50.0,87.0,59.0,42.0,37.0,29.0,29.0,29.0,29.0,37.0,42.0,28,48.0,45.0,81,57.0,65.0,66.0,59,17.0,11.0,12.0,45,72.0,40.0,17.0,16.0,13.0,38.0,58.0,24.0,53.0,38.0,49.0,72,63,60.0,45.0,61.0,59.0,62,10.0,29.0,,,
2020-01-15,35.0,38,30.0,37.0,31.0,31.0,39.0,45.0,39.0,36.0,38.0,49.0,45,30,28,42.0,31.0,40.0,40.0,45.0,23.0,34.0,44.0,82.0,58.0,49.0,35.0,29.0,29.0,29.0,35.0,33.0,40.0,31,35.0,34.0,77,54.0,68.0,69.0,51,22.0,17.0,18.0,59,79.0,38.0,22.0,21.0,13.0,23.0,30.0,24.0,58.0,41.0,28.0,81,48,68.0,56.0,53.0,77.0,69,16.0,33.0,,,
2020-01-16,37.0,41,33.0,39.0,37.0,37.0,40.0,47.0,42.0,38.0,42.0,56.0,47,33,33,44.0,36.0,40.0,42.0,46.0,28.0,41.0,56.0,81.0,58.0,58.0,42.0,33.0,34.0,35.0,38.0,38.0,46.0,37,32.0,30.0,70,55.0,65.0,65.0,59,31.0,26.0,29.0,69,78.0,40.0,24.0,27.0,17.0,22.0,25.0,24.0,52.0,34.0,28.0,76,37,62.0,57.0,50.0,57.0,79,21.0,36.0,,,
2020-01-17,45.0,46,36.0,47.0,43.0,42.0,47.0,58.0,50.0,45.0,48.0,60.0,54,39,37,51.0,42.0,51.0,46.0,56.0,34.0,45.0,51.0,71.0,53.0,66.0,41.0,36.0,36.0,41.0,45.0,43.0,48.0,36,38.0,38.0,68,61.0,66.0,72.0,60,32.0,32.0,32.0,66,81.0,40.0,24.0,28.0,16.0,25.0,29.0,28.0,47.0,32.0,33.0,74,44,55.0,63.0,51.0,58.0,85,25.0,40.0,,,
2020-01-18,58.0,58,48.0,55.0,52.0,52.0,55.0,59.0,59.0,54.0,56.0,79.0,64,46,49,63.0,46.0,61.0,62.0,63.0,44.0,60.0,70.0,90.0,71.0,75.0,51.0,51.0,48.0,54.0,58.0,55.0,56.0,51,49.0,51.0,90,66.0,73.0,84.0,66,32.0,27.0,23.0,54,68.0,51.0,22.0,26.0,18.0,34.0,36.0,38.0,55.0,37.0,45.0,78,54,82.0,60.0,56.0,73.0,88,25.0,52.0,,,
2020-01-19,56.0,58,50.0,56.0,53.0,52.0,57.0,58.0,58.0,55.0,56.0,74.0,65,49,49,66.0,45.0,59.0,57.0,57.0,46.0,58.0,65.0,87.0,77.0,71.0,57.0,51.0,45.0,54.0,58.0,58.0,58.0,53,36.0,43.0,94,71.0,81.0,84.0,76,26.0,20.0,21.0,50,69.0,60.0,20.0,24.0,14.0,45.0,51.0,27.0,61.0,47.0,48.0,80,70,72.0,55.0,50.0,76.0,85,16.0,57.0,,,
2020-01-20,64.0,60,54.0,61.0,58.0,56.0,62.0,72.0,65.0,64.0,63.0,76.0,73,58,52,75.0,49.0,66.0,67.0,52.0,52.0,62.0,80.0,91.0,81.0,67.0,60.0,48.0,41.0,49.0,51.0,50.0,60.0,56,50.0,51.0,90,68.0,74.0,72.0,60,25.0,21.0,16.0,35,50.0,62.0,16.0,19.0,12.0,48.0,61.0,23.0,57.0,44.0,34.0,79,74,66.0,45.0,50.0,79.0,86,15.0,54.0,,,
2020-01-21,46.0,47,45.0,50.0,45.0,45.0,53.0,55.0,51.0,45.0,56.0,72.0,55,40,40,53.0,38.0,54.0,58.0,26.0,26.0,56.0,73.0,97.0,92.0,52.0,49.0,35.0,36.0,45.0,45.0,30.0,53.0,43,51.0,57.0,82,63.0,73.0,69.0,64,12.0,12.0,14.0,38,66.0,55.0,17.0,17.0,10.0,38.0,49.0,29.0,52.0,40.0,39.0,73,70,74.0,48.0,57.0,71.0,77,9.0,41.0,,,
2020-01-22,41.0,36,32.0,39.0,32.0,32.0,41.0,45.0,43.0,39.0,43.0,53.0,39,35,31,41.0,28.0,44.0,43.0,45.0,25.0,40.0,58.0,90.0,75.0,53.0,37.0,29.0,28.0,29.0,34.0,22.0,38.0,29,35.0,35.0,81,61.0,74.0,69.0,68,20.0,13.0,13.0,59,74.0,41.0,16.0,16.0,10.0,23.0,37.0,33.0,63.0,41.0,35.0,77,56,73.0,54.0,54.0,70.0,72,10.0,36.0,,,
2020-01-23,35.0,35,26.0,35.0,32.0,33.0,40.0,46.0,38.0,34.0,35.0,51.0,40,30,30,44.0,27.0,38.0,38.0,44.0,26.0,44.0,53.0,71.0,58.0,50.0,38.0,25.0,27.0,30.0,36.0,26.0,35.0,27,27.0,31.0,73,52.0,65.0,66.0,61,13.0,11.0,11.0,65,76.0,37.0,16.0,15.0,12.0,21.0,32.0,28.0,58.0,34.0,29.0,77,42,53.0,59.0,53.0,70.0,73,8.0,31.0,,,
2020-01-24,24.0,21,18.0,27.0,24.0,24.0,26.0,30.0,27.0,22.0,21.0,43.0,27,18,19,32.0,20.0,25.0,21.0,28.0,15.0,27.0,33.0,43.0,37.0,33.0,26.0,14.0,15.0,16.0,20.0,15.0,29.0,17,28.0,34.0,93,65.0,84.0,67.0,42,18.0,12.0,15.0,75,58.0,25.0,16.0,18.0,12.0,19.0,34.0,35.0,54.0,25.0,31.0,99,56,,57.0,48.0,46.0,50,13.0,20.0,,,
2020-01-25,21.0,18,15.0,21.0,17.0,16.0,20.0,20.0,21.0,17.0,16.0,30.0,23,14,17,29.0,19.0,20.0,17.0,17.0,13.0,21.0,23.0,34.0,27.0,21.0,20.0,12.0,19.0,13.0,17.0,14.0,20.0,16,36.0,34.0,98,77.0,134.0,80.0,32,15.0,11.0,17.0,51,38.0,20.0,15.0,17.0,14.0,26.0,51.0,32.0,63.0,34.0,44.0,131,67,,41.0,46.0,49.0,34,9.0,17.0,,,
2020-01-26,17.0,12,11.0,15.0,13.0,15.0,19.0,23.0,19.0,15.0,12.0,25.0,19,13,12,27.0,16.0,18.0,16.0,23.0,14.0,16.0,24.0,32.0,29.0,29.0,14.0,9.0,15.0,6.0,11.0,9.0,16.0,9,41.0,46.0,130,84.0,110.33333333333333,117.0,29,17.0,15.0,16.0,36,26.0,17.0,15.0,16.0,14.0,25.0,36.0,37.0,89.0,43.0,49.0,136,79,17.0,33.0,58.0,30.0,43,11.0,17.0,,,
2020-01-27,21.0,20,14.0,20.0,21.0,19.0,23.0,29.0,24.0,23.0,19.0,27.0,28,20,20,35.0,20.0,22.0,21.0,36.0,25.0,18.0,27.0,37.0,32.0,31.0,17.0,10.0,19.0,10.0,15.0,11.0,18.0,14,40.0,45.0,136,128.0,266.0,137.0,56,16.0,15.0,17.0,28,35.0,18.0,15.0,16.0,16.0,18.0,48.0,41.0,107.0,63.0,49.0,151,99,14.0,28.0,54.0,36.0,58,12.0,28.0,,,
2020-01-28,34.0,26,18.0,27.0,25.0,26.0,26.0,40.0,35.0,33.0,29.0,43.0,36,26,27,44.0,23.0,33.0,29.0,41.0,30.0,29.0,54.0,49.0,40.0,39.0,18.0,15.0,19.0,14.0,21.0,18.0,30.0,25,43.0,50.0,112,121.0,131.0,79.0,39,18.0,16.0,17.0,35,34.0,21.0,15.0,15.0,12.0,18.0,48.0,35.0,91.0,63.0,47.0,119,99,16.0,35.0,55.0,36.0,50,13.0,32.0,,,
2020-01-29,30.0,27,22.0,30.0,24.0,29.0,33.0,39.0,35.0,31.0,30.0,39.0,34,25,26,34.0,21.0,36.0,33.0,46.0,26.0,33.0,55.0,77.0,50.0,51.0,26.0,14.0,18.0,17.0,24.0,17.0,38.0,19,44.0,42.0,91,105.0,103.0,91.0,55,19.0,13.0,14.0,26,37.0,25.0,14.0,16.0,12.0,19.0,44.0,36.0,69.0,49.0,41.0,107,94,21.0,37.0,81.0,41.0,70,10.0,37.0,,,
2020-01-30,37.0,37,28.0,35.0,35.0,29.0,37.0,41.0,38.0,33.0,34.0,42.0,44,35,33,54.0,31.0,38.0,36.0,47.0,36.0,37.0,58.0,70.0,57.0,63.0,35.0,29.0,23.0,31.0,32.0,28.0,42.0,43,60.0,56.0,103,109.0,106.0,96.0,36,20.0,16.0,14.0,29,27.0,34.0,14.0,15.0,12.0,19.0,37.0,45.0,41.0,32.0,51.0,107,70,28.0,24.0,97.0,33.0,105,10.0,35.0,,,
2020-01-31,45.0,45,34.0,46.0,44.0,45.0,46.0,43.0,46.0,42.0,44.0,47.0,51,43,40,60.0,37.0,46.0,49.0,51.0,45.0,45.0,46.0,57.0,56.0,69.0,45.0,37.0,41.0,34.0,44.0,38.0,48.0,42,65.0,70.0,74,74.0,66.0,47.0,40,21.0,16.0,16.0,47,49.0,39.0,17.0,18.0,11.0,21.0,52.0,52.0,50.0,34.0,48.0,73,71,34.0,39.0,76.0,47.0,66,11.0,49.0,,,
2020-02-01,61.0,60,43.0,58.0,57.0,55.0,61.0,63.0,64.0,60.0,60.0,72.0,72,63,59,79.0,45.0,66.0,62.0,71.0,60.0,62.0,70.0,82.0,88.0,75.0,55.0,49.0,47.0,49.0,59.0,48.0,57.0,59,50.0,54.0,56,53.0,47.0,48.0,59,22.0,19.0,18.0,51,70.0,57.0,17.0,19.0,10.0,22.0,57.0,46.0,66.0,42.0,36.0,70,64,57.0,55.0,61.0,78.0,82,16.0,55.0,,,
