Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,81T,21T,24T,25T,26T,79T,84T,46T,47T,72T,82T,83T,28T,29T,30T,31T,74T,32T,33T,34T,60T,71T,77T,35T,36T,37T,38T,39T,40T,41T,57T,73T,58T,67T,75T,68T,69T,70T,76T,42T,43T,44T,62T,63T,78T,80T
2020_05_06,16.0,14,15.0,16.0,14.0,15.0,18.0,25.0,18.0,14.0,14.0,25.0,19,11,12,27.0,15.0,17.0,13.0,18.0,13.0,21.0,16.0,25.0,28.0,24.0,21.0,22,15.0,34,30.0,29.0,51.0,64.0,17.0,9.0,14.0,7.0,10.0,8.0,15.0,11,16.0,16.0,23.0,33.0,26.0,27,35.0,31.0,37.0,25,23.0,27.0,24.0,32.0,22.0,25.0,40,35,21.0,17.0,6.0,18.0,11.0,17.0,9.0,6.0
2020_05_07,13.0,10,13.0,13.0,15.0,15.0,17.0,24.0,15.0,10.0,24.0,23.0,14,8,8,23.0,14.0,15.0,9.0,19.0,10.0,15.0,12.0,17.0,31.666666666666668,19.0,21.0,13,11.0,30,26.0,31.0,44.0,60.0,14.0,7.0,15.0,6.0,16.0,9.0,19.0,11,12.0,12.0,18.0,35.0,28.0,27,32.0,30.0,31.0,17,26.0,29.0,27.0,32.0,32.666666666666664,27.0,34,34,23.0,14.0,8.0,21.0,12.0,15.5,9.0,9.0
2020_05_08,13.0,9,11.0,11.0,10.0,13.0,15.0,22.0,14.0,8.0,26.5,22.0,12,7,10,22.0,12.0,13.0,10.0,17.0,13.0,19.0,14.0,17.0,30.0,23.0,18.0,13,12.0,21,19.0,22.0,25.0,49.0,12.0,7.0,21.0,7.0,11.0,7.0,10.0,10,15.0,11.0,18.0,28.0,19.0,18,20.0,19.0,22.0,17,24.0,32.0,25.0,30.0,36.0,16.0,24,23,16.0,11.0,8.0,20.0,15.5,15.5,9.0,8.0
2020_05_09,10.0,6,11.0,8.0,10.0,8.0,11.0,15.0,10.0,6.0,6.0,17.0,11,6,6,20.0,12.0,7.0,6.0,12.0,5.0,13.0,13.0,12.0,19.0,15.0,19.0,12,8.0,27,20.0,22.0,22.0,56.0,12.0,5.0,17.0,5.0,9.0,5.0,13.0,8,9.0,8.0,15.0,31.0,25.0,24,28.0,24.0,28.0,16,21.0,19.0,20.0,23.0,16.0,20.0,29,25,23.333333333333332,13.0,8.0,21.0,15.5,16.5,9.0,7.0
2020_05_10,8.0,6,10.0,8.0,8.0,9.0,10.0,15.0,10.0,6.0,6.0,15.0,10,6,5,17.0,10.0,9.0,5.0,10.0,4.0,10.0,5.0,12.0,14.0,14.0,11.0,14,5.0,27,25.0,18.0,32.0,62.0,12.0,5.0,19.0,5.0,7.0,5.0,10.0,8,11.0,9.0,17.0,26.0,20.0,20,18.0,16.0,21.0,15,16.0,26.0,22.0,15.0,12.0,18.0,19,21,19.0,13.0,9.0,17.0,15.5,16.5,14.0,8.0
2020_05_11,14.0,10,14.0,11.0,,11.0,16.0,19.0,14.0,10.0,11.0,20.0,14,10,10,24.0,15.0,12.0,9.0,10.0,8.0,13.0,15.0,9.0,17.0,14.0,17.0,13,11.0,25,16.0,14.0,13.0,42.0,13.0,5.0,22.0,5.0,12.0,6.0,11.0,10,9.0,7.0,17.0,21.0,10.0,13,14.0,13.0,15.0,15,13.0,19.0,9.0,15.0,12.0,11.0,17,16,22.0,17.0,7.0,16.0,19.0,20.0,8.0,6.0
2020_05_12,25.0,19,18.0,18.0,13.0,18.0,24.0,31.0,25.0,20.0,20.0,33.0,25,20,16,37.0,17.0,19.0,14.0,22.0,27.0,20.0,20.0,18.0,24.0,17.0,17.0,18,13.0,24,22.0,14.0,24.0,35.0,18.0,15.0,22.0,15.0,19.0,10.0,19.0,12,13.0,10.0,20.0,19.0,12.0,14,15.0,12.0,16.0,19,13.0,16.0,13.0,19.0,10.0,14.0,21,13,23.0,11.0,6.0,15.0,15.5,18.5,7.0,8.0
2020_05_13,14.0,10,14.0,15.0,13.0,13.0,18.0,25.0,16.0,10.0,13.0,24.0,15,8,12,22.0,14.0,15.0,10.0,19.0,9.0,19.0,14.0,18.0,30.0,22.0,9.5,15,9.0,26,23.0,17.0,31.0,60.0,20.0,15.0,26.0,14.0,18.0,13.0,23.0,11,17.0,13.0,29.0,25.0,19.0,24,21.0,16.0,21.0,22,16.0,21.0,16.0,29.0,14.0,17.0,27,18,25.0,13.0,6.0,17.0,16.5,19.0,8.0,8.0
2020_05_14,13.0,11,19.0,14.0,12.0,13.0,18.0,22.0,15.0,10.0,16.0,24.0,14,9,11,22.0,16.0,14.0,12.0,16.0,7.0,21.0,14.0,16.0,24.0,19.0,16.0,20,10.0,31,25.0,27.0,27.0,69.0,22.0,11.0,20.0,11.0,14.0,10.0,26.0,15,13.0,12.0,22.0,22.0,16.0,23,20.0,16.0,22.0,19,13.0,17.0,13.0,21.0,15.0,15.0,22,17,20.0,11.0,8.0,18.0,14.0,17.5,7.0,10.0
2020_05_15,11.0,9,15.0,11.0,13.0,13.0,15.0,21.0,14.0,9.0,12.0,24.0,12,10,8,21.0,12.0,13.0,11.0,14.0,7.0,18.0,11.0,18.0,27.0,20.0,15.0,16,8.0,27,24.0,28.0,35.0,66.0,20.0,11.0,23.0,13.0,13.0,7.0,20.0,12,15.0,14.0,24.0,25.0,16.0,17,20.0,17.0,21.0,22,25.0,25.0,18.0,28.0,23.0,16.0,22,23,19.0,15.0,8.0,18.0,11.0,15.5,9.0,10.0
2020_05_16,13.0,11,13.0,13.0,14.0,13.0,15.0,23.0,15.0,10.0,11.0,26.0,13,9,10,22.0,13.0,11.0,10.0,15.0,9.0,19.0,12.0,18.0,23.0,19.0,15.0,20,9.0,29,24.0,19.0,26.0,46.0,18.0,9.0,19.0,9.0,14.0,8.0,15.0,10,16.0,12.0,22.0,24.0,20.0,20,26.0,21.0,23.0,18,33.0,33.0,20.0,25.0,24.0,18.0,28,32,14.0,13.0,12.0,16.0,8.5,12.5,7.0,7.0
