Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,81T,21T,24T,25T,26T,79T,84T,85T,99T,100T,46T,47T,72T,82T,83T,88T,90T,91T,101T,102T,28T,29T,30T,31T,74T,32T,33T,34T,60T,71T,77T,87T,35T,36T,37T,38T,39T,40T,41T,57T,73T,58T,67T,75T,68T,69T,70T,76T,86T,92T,94T,95T,96T,97T,98T,42T,43T,44T,62T,63T,78T,80T,89T,93T
2022_08_16,14.0,13.0,10.0,12.0,17.0,6.0,13.0,19.0,18.0,12.0,12.0,20.0,15.0,9.0,8,18,14.0,9,7,15.0,12.0,7.0,8.0,7,19.0,11.0,13.0,6.0,5.0,5,4.0,7.0,10.0,12.0,5.0,6.0,6,8.0,6,5.0,4.0,9.0,9.0,13,18.0,10.0,11.0,9.0,7.0,8.0,7.0,6.0,11.0,4,9.0,8,10.0,4.0,4.0,7.0,8.0,7.0,11.0,9,15.0,8.0,9.0,6.0,7.0,5.0,5,8.0,7.0,5.0,6.0,6.0,9.0,13.0,10.0,16.0,11.0,11.0,9.0,11.8,13,8.0
2022_08_17,16.0,13.0,11.0,14.0,19.0,7.0,14.0,23.0,20.0,14.0,11.0,25.0,19.0,14.0,12,22,14.0,11,9,17.0,12.0,16.0,8.0,9,23.0,11.0,13.0,7.0,5.0,8,8.0,7.0,12.0,14.0,5.0,8.0,5,7.0,5,5.0,5.0,8.0,8.0,9,13.0,9.0,8.0,10.0,6.0,8.0,9.0,7.0,11.0,4,10.0,7,11.0,4.0,4.0,7.0,9.0,6.0,14.0,8,13.0,7.0,6.0,8.0,7.0,6.0,11,10.0,8.0,6.0,9.0,11.0,10.0,9.0,9.0,14.0,12.0,13.0,8.0,10.0,12,7.0
2022_08_18,16.0,14.0,11.0,14.0,18.0,8.0,14.0,21.0,19.0,12.0,12.0,21.0,17.0,10.0,9,19,18.0,11,10,20.0,11.0,10.0,9.0,12,19.0,16.0,13.0,5.0,6.0,7,11.0,4.0,15.0,16.0,5.0,10.0,7,7.0,6,8.0,7.0,9.0,6.0,10,13.0,10.0,10.0,10.0,10.0,6.0,9.0,7.0,14.0,4,10.0,7,9.0,5.0,5.0,7.0,11.0,7.0,10.0,8,16.0,7.0,9.0,9.0,7.0,7.0,13,11.0,7.0,10.0,7.0,11.0,11.0,10.0,8.0,14.0,12.0,12.0,8.0,10.0,13,11.0
2022_08_19,18.0,18.0,11.0,16.0,20.0,9.0,14.0,21.0,21.0,15.0,14.0,25.0,21.0,13.0,11,22,16.0,11,11,20.0,15.0,11.0,11.0,13,29.0,18.0,13.0,6.0,6.0,9,12.0,4.0,16.0,17.0,7.0,11.0,8,8.0,10,7.0,9.0,13.0,7.0,11,13.0,10.0,10.0,9.0,12.0,7.0,9.0,9.0,15.0,5,13.0,8,12.0,9.0,8.0,11.0,11.0,8.0,15.0,12,18.0,10.0,11.0,11.0,8.0,11.0,14,12.0,8.0,14.0,8.0,12.0,10.0,10.0,7.0,19.0,14.0,14.0,11.0,10.0,14,8.0
2022_08_20,17.0,18.0,13.0,16.0,20.0,9.0,14.0,22.0,20.0,14.0,12.0,26.0,21.0,14.0,13,23,21.0,11,9,22.0,16.0,10.0,10.0,14,26.0,18.0,16.0,5.0,9.0,10,12.0,7.0,12.0,19.0,8.0,6.0,5,5.0,4,6.0,7.0,6.0,8.0,12,18.0,12.0,9.0,10.0,11.0,6.0,8.0,9.0,16.0,4,16.0,12,15.0,8.0,8.0,11.0,11.0,9.0,16.0,12,21.0,10.0,12.0,13.0,10.0,11.0,19,14.0,10.0,15.0,10.0,14.0,14.0,10.0,8.0,16.0,14.0,14.0,11.0,9.0,10,10.0
2022_08_21,18.0,19.0,13.0,16.0,20.0,9.0,14.0,21.0,19.0,13.0,12.0,23.0,20.0,13.0,12,23,20.0,12,10,21.0,16.0,10.0,10.0,11,23.0,18.0,17.0,6.0,9.0,10,10.0,9.0,14.0,18.0,5.0,4.0,7,6.0,5,4.0,7.0,7.0,11.0,14,23.0,15.0,10.0,13.0,12.0,9.0,10.0,10.0,15.0,5,16.0,13,13.0,5.0,6.0,10.0,12.0,6.0,9.0,11,13.0,6.0,9.0,9.0,8.0,9.0,12,12.0,9.0,10.0,10.0,13.0,13.0,10.0,12.0,13.0,11.0,11.0,8.0,9.0,12,8.0
2022_08_22,16.0,16.0,13.0,14.0,19.0,8.0,14.0,23.0,19.0,13.0,12.0,21.0,18.0,12.0,12,20,19.0,12,10,20.0,11.0,12.0,11.0,12,24.0,17.0,14.0,6.0,7.0,7,10.0,9.0,15.0,15.0,8.0,7.0,8,11.0,8,8.0,8.0,10.0,10.0,10,15.0,13.0,11.0,10.0,10.0,10.0,12.0,10.0,17.0,5,11.0,9,10.0,4.0,5.0,8.0,11.0,8.0,10.0,12,18.0,8.0,9.0,9.0,7.0,6.0,7,10.0,8.0,7.0,7.0,12.0,10.0,11.0,7.0,12.0,12.0,11.0,8.0,9.0,10,7.0
2022_08_23,21.0,17.0,15.0,15.0,23.0,10.0,15.0,21.0,22.0,16.0,14.0,24.0,22.0,15.0,14,24,22.0,13,11,24.0,13.0,14.0,13.0,16,31.0,22.0,19.0,7.0,9.0,13,18.0,14.0,14.0,17.0,7.0,14.0,11,14.0,8,10.0,9.0,10.0,12.0,12,15.0,14.0,13.0,14.0,14.0,11.0,14.0,10.0,20.0,6,13.4,7,11.0,4.0,5.0,8.0,10.0,9.0,12.0,9,19.0,8.0,12.0,9.0,10.0,9.0,13,10.0,6.0,12.0,8.0,13.0,14.0,9.0,10.0,18.0,12.0,11.0,7.0,9.0,14,9.0
2022_08_24,16.0,17.0,13.0,13.0,21.0,9.0,14.0,24.0,19.0,13.0,14.0,29.0,19.0,15.0,12,22,22.0,12,11,19.0,12.0,14.0,14.0,17,38.0,24.0,15.0,6.0,10.0,24,23.0,12.0,18.0,21.0,10.0,16.0,9,7.0,11,13.0,10.0,12.0,16.0,16,14.0,15.0,11.0,15.0,13.0,13.0,13.0,11.0,18.0,9,13.0,9,12.0,5.0,6.0,8.0,15.0,9.0,12.0,10,19.0,8.0,10.0,10.0,9.0,9.0,19,13.0,7.0,16.0,7.0,15.0,17.0,11.0,11.0,14.0,11.0,12.0,7.0,9.0,18,13.0
2022_08_25,14.0,16.0,12.0,11.0,19.0,7.0,13.0,19.0,19.0,12.0,13.0,26.0,18.0,12.0,8,21,21.0,10,9,18.0,13.0,10.0,9.0,11,21.0,16.0,17.0,9.0,9.0,12,8.0,5.0,16.0,14.0,6.0,6.0,6,9.0,7,5.0,6.0,10.0,12.0,12,16.0,12.0,9.0,13.0,11.0,11.0,12.0,7.0,15.0,3,14.0,7,9.0,4.0,4.0,7.0,10.0,13.75,12.0,11,18.0,5.0,8.0,8.0,8.0,8.0,6,8.0,6.0,6.0,4.0,10.0,11.0,12.0,11.0,16.0,13.0,13.0,9.0,9.0,14,10.0
