Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,81T,21T,24T,25T,26T,79T,84T,85T,99T,100T,46T,47T,72T,82T,83T,88T,90T,91T,101T,102T,28T,29T,30T,31T,74T,32T,33T,34T,60T,71T,77T,87T,35T,36T,37T,38T,39T,40T,41T,57T,73T,58T,67T,75T,68T,69T,70T,76T,86T,92T,94T,95T,96T,97T,98T,42T,43T,44T,62T,63T,78T,80T,89T,93T
2022_09_05,14.0,12.0,9.0,12.0,15.0,8.0,12.0,21.0,16.0,12.0,10.0,22.0,13.0,8.0,8,16,15.0,11,9,15.0,10.0,9.0,9.0,8,27.0,15.0,15.0,7.0,6.0,7,11.0,4.0,17.0,15.0,6.0,7.0,7,6.0,8,8.0,5.0,12.0,7.0,10,9.0,8.0,9.0,9.0,6.0,7.0,9.0,6.0,14.0,4,16.0,10,14.0,4.0,5.0,10.0,13.0,8.0,12.0,12,17.0,8.0,8.0,11.0,8.0,8.0,12,13.0,7.0,9.0,7.0,11.0,13.0,9.0,9.0,19.0,17.0,17.0,10.0,9.0,12,11.0
2022_09_06,14.0,13.0,9.0,12.0,13.0,8.0,13.0,21.0,17.0,12.0,12.0,20.0,17.0,11.0,9,19,12.0,10,7,16.0,11.0,8.0,8.0,9,29.0,18.0,13.0,9.0,5.0,10,17.0,5.0,18.0,18.0,7.0,14.0,8,19.0,13,12.0,6.0,19.0,9.0,14,13.0,12.0,9.0,10.0,13.0,8.0,9.0,7.0,17.0,4,14.0,10,13.0,4.0,4.0,9.0,10.0,8.0,13.0,11,16.0,10.0,10.0,8.0,7.0,6.0,7,10.0,5.0,7.0,7.0,10.0,12.0,6.0,10.0,15.0,15.0,15.0,8.0,10.0,14,13.0
2022_09_07,15.0,14.0,8.0,10.0,11.0,6.0,12.0,18.0,16.0,12.0,11.0,19.0,16.0,8.0,8,15,16.0,8,6,15.0,13.0,7.0,9.0,8,28.0,17.0,12.0,5.0,4.0,7,12.0,4.0,30.0,22.0,14.0,25.0,10,29.0,25,26.0,9.0,31.0,7.0,8,11.0,7.0,9.0,7.0,14.333333333333334,5.0,8.0,9.0,15.0,3,17.0,13,16.0,7.0,7.0,12.0,12.0,16.0,22.0,15,23.0,19.0,15.0,16.0,15.0,10.0,10,16.0,8.0,8.0,9.0,15.0,13.0,9.0,10.0,14.0,14.0,12.0,7.0,10.0,10,10.0
2022_09_08,16.0,16.0,11.0,12.0,14.0,9.0,13.0,20.0,18.0,14.0,15.0,22.0,18.0,17.0,10,19,18.0,11,9,17.0,16.0,7.0,8.0,10,25.0,17.0,13.0,5.0,5.0,10,10.0,6.0,26.0,14.0,13.0,22.0,6,16.0,18,16.0,5.0,18.0,9.0,8,9.0,9.0,8.0,8.0,11.0,6.0,7.0,8.0,13.0,3,25.0,18,20.0,6.0,9.0,14.0,14.0,19.0,24.0,22,26.0,18.0,21.0,15.0,17.0,9.0,15,19.0,12.0,10.0,12.0,20.0,12.0,7.0,10.0,13.0,13.0,15.0,7.0,11.0,9,10.0
2022_09_09,16.0,19.0,14.0,14.0,18.0,9.0,14.0,22.0,20.0,15.0,16.0,25.0,21.0,13.0,12,26,19.0,11,9,18.0,14.0,9.0,13.0,11,29.0,18.0,11.0,5.0,6.0,9,12.0,9.0,12.0,16.0,4.0,8.0,6,7.0,8,8.0,4.0,11.0,10.0,14,13.0,11.0,13.0,12.0,11.0,10.0,13.0,12.0,20.0,5,13.0,7,11.0,4.0,5.0,9.0,9.0,7.0,12.0,11,18.0,8.0,8.0,9.0,8.0,7.0,12,11.0,9.0,7.0,9.0,11.0,13.0,13.0,12.0,16.0,13.0,15.0,8.0,11.0,12,14.0
2022_09_10,12.0,14.0,9.0,8.0,11.0,6.0,12.0,16.0,16.0,10.0,13.0,22.0,14.0,10.0,8,19,16.0,8,7,14.0,15.0,5.0,7.0,10,22.0,15.0,13.0,6.0,6.0,5,6.0,10.0,13.0,17.0,3.0,4.0,8,7.0,7,5.0,7.0,,10.0,12,9.0,11.0,10.0,11.0,12.0,9.0,10.0,10.0,13.0,4,10.0,6,8.0,3.0,4.0,7.0,11.0,6.25,9.0,8,13.0,6.0,5.0,6.0,6.0,6.0,7,6.0,6.0,6.0,5.0,7.0,10.0,13.0,12.0,17.0,13.0,14.0,12.0,11.0,11,15.0
2022_09_11,16.0,13.0,15.0,12.0,13.0,9.0,15.0,20.0,21.0,12.0,18.0,24.0,17.0,10.0,9,19,15.0,12,13,14.0,13.0,11.0,11.0,9,30.0,17.0,10.0,4.0,6.0,6,8.0,11.0,20.333333333333332,16.0,7.666666666666667,7.0,7,8.0,5,5.0,8.0,,11.0,16,17.0,13.0,13.0,12.0,12.0,11.0,13.0,9.0,17.0,5,10.0,5,8.0,4.0,4.0,7.0,6.0,6.0,10.0,5,15.0,6.0,7.0,7.333333333333333,5.0,5.0,6,8.0,5.0,5.0,5.0,7.0,8.0,13.0,14.0,19.0,12.0,16.0,10.0,10.0,12,14.0
2022_09_12,17.0,18.0,14.0,19.0,18.0,11.0,15.0,23.0,22.0,15.0,18.0,31.0,19.0,13.0,12,26,23.0,13,12,17.0,12.0,15.0,12.0,14,29.0,17.0,13.0,6.0,7.0,9,13.0,7.0,18.0,14.0,6.666666666666667,9.0,6,14.0,10,7.0,6.0,,15.0,16,19.0,11.0,11.0,12.0,13.0,10.0,15.0,11.0,20.0,6,12.0,7,8.0,4.0,4.0,7.0,9.0,5.0,8.0,4,15.0,6.0,7.0,8.666666666666666,7.0,9.0,8,9.0,5.0,7.0,6.0,8.0,12.0,14.0,11.0,20.0,15.0,14.0,9.0,11.0,16,11.0
2022_09_13,22.0,23.0,21.0,21.0,22.0,14.0,18.0,28.0,26.0,20.0,24.0,35.0,25.0,17.0,16,26,29.0,19,16,23.0,18.0,21.0,13.0,19,40.0,26.0,12.0,6.0,7.0,11,15.0,13.0,18.0,14.0,8.666666666666666,11.0,8,14.0,9,11.0,7.0,7.0,14.0,24,26.0,19.0,18.0,17.0,15.0,16.0,16.0,15.0,23.0,6,12.0,9,9.0,4.0,4.0,7.0,10.0,7.0,10.0,5,16.0,7.0,9.0,11.0,5.0,9.0,14,8.0,7.0,10.0,7.0,10.0,15.0,10.0,10.0,16.0,13.0,13.0,9.0,11.0,12,10.0
2022_09_14,18.0,20.0,16.0,15.0,20.0,10.0,16.0,27.0,22.0,17.0,18.0,27.0,20.0,14.0,12,26,22.0,13,11,20.0,14.0,13.0,11.0,15,34.0,23.0,11.0,9.0,8.0,9,20.0,8.0,19.0,18.0,7.0,14.0,7,19.0,12,11.0,9.0,5.0,16.0,21,15.0,16.0,13.0,14.0,16.0,13.0,13.0,10.0,19.0,6,12.0,6,9.0,5.0,5.0,8.0,14.0,8.0,11.0,5,17.0,9.0,8.0,11.666666666666666,9.0,6.0,10,13.0,5.0,10.0,6.0,12.0,14.0,9.0,10.0,17.0,13.0,14.0,9.0,10.0,11,11.0
2022_09_15,16.0,17.0,11.0,12.0,16.0,8.0,14.0,24.0,18.0,15.0,12.0,21.0,18.0,14.0,12,21,18.0,10,7,21.0,13.0,8.0,8.0,8,26.0,18.0,11.0,5.0,8.0,4,12.0,6.0,22.0,18.0,8.0,10.0,8,11.0,10,9.0,11.0,8.0,11.0,12,11.0,12.0,8.0,12.0,14.0,10.0,12.0,8.0,21.0,4,11.0,7,10.0,7.0,4.0,9.0,12.0,7.0,9.0,4,18.0,8.0,9.0,11.333333333333334,8.0,9.0,7,13.0,6.0,8.0,6.0,14.0,11.0,10.0,9.0,19.0,13.0,13.0,9.0,10.0,14,14.0
2022_09_16,14.0,14.0,11.0,11.0,13.0,9.0,13.0,21.0,17.0,11.0,11.0,20.0,17.0,11.0,8,17,16.0,11,8,17.0,12.0,9.0,8.0,7,28.0,16.0,10.0,7.0,6.0,7,9.0,8.0,17.0,18.0,10.333333333333334,10.0,8,10.0,9,10.0,6.0,8.0,11.0,12,13.0,12.0,9.0,10.0,10.0,6.0,11.0,8.0,16.0,4,11.0,7,10.0,7.333333333333333,5.0,8.0,7.0,7.0,11.0,5,18.0,8.0,7.0,12.333333333333334,9.666666666666666,6.0,6,15.0,6.0,6.0,5.0,10.0,8.0,11.0,9.0,17.0,11.0,13.0,7.0,10.0,12,11.0
2022_09_17,14.0,14.0,8.0,10.0,14.0,8.0,13.0,22.0,16.0,11.0,9.0,18.0,17.0,10.0,11,20,18.0,11,9,17.0,14.0,9.0,9.0,9,25.0,15.0,11.0,6.0,5.0,5,9.0,8.0,20.0,14.0,11.333333333333334,8.0,6,10.0,6,12.0,5.0,7.0,9.0,10,11.0,10.0,10.0,11.0,9.0,7.0,10.0,7.0,14.0,4,12.0,7,10.0,6.0,5.0,8.0,8.0,7.0,11.0,4,19.0,7.0,8.0,13.0,11.0,8.0,6,14.0,6.0,7.0,6.0,10.0,9.0,11.0,9.0,15.0,12.0,13.0,8.0,10.0,9,13.0
2022_09_18,15.0,14.0,13.0,10.0,15.0,7.0,13.0,22.0,17.0,13.0,12.0,25.0,16.0,10.0,12,19,13.0,12,10,18.0,13.0,10.0,10.0,11,25.0,14.0,14.0,5.0,6.0,8,8.0,6.0,15.0,16.0,8.666666666666666,10.0,5,9.0,9,10.0,5.0,7.0,10.0,10,11.0,12.0,10.0,11.0,8.0,7.0,8.0,8.0,13.0,4,11.0,8,11.0,5.0,5.0,9.0,7.0,6.0,11.0,4,17.0,8.0,7.0,12.666666666666666,10.0,8.0,6,13.0,5.0,6.0,7.0,9.0,9.0,12.0,12.0,14.0,13.0,12.0,7.0,8.0,10,14.0
2022_09_19,14.0,13.0,9.0,10.0,12.0,8.0,13.0,21.0,16.0,11.0,13.0,17.0,16.0,12.0,8,20,18.0,11,7,17.0,13.0,6.0,10.0,9,28.0,12.0,15.0,5.0,8.0,7,7.0,5.0,17.0,13.0,9.0,9.0,6,8.0,8,11.0,4.0,6.0,8.0,12,12.0,12.0,11.0,10.0,9.0,7.0,8.0,7.0,14.0,4,10.0,7,11.0,5.0,5.0,8.0,7.0,9.0,12.0,5,18.0,6.0,7.0,10.333333333333334,10.333333333333334,7.0,7,10.0,6.0,6.0,7.0,7.0,8.0,12.0,8.0,16.0,14.0,15.0,10.0,10.0,15,12.0
2022_09_20,15.0,16.0,10.0,12.0,15.0,7.0,13.0,21.0,17.0,14.0,13.0,20.0,18.0,16.0,10,24,21.0,12,8,23.0,15.0,9.0,10.0,11,34.0,18.0,12.0,5.0,10.0,8,11.0,9.0,16.0,14.0,6.666666666666667,6.0,6,8.0,8,8.0,6.0,7.0,11.0,14,22.0,16.0,13.0,13.0,16.0,9.0,12.0,10.0,16.0,5,13.0,8,11.0,6.0,6.0,9.0,9.0,7.0,11.0,5,18.0,6.0,9.0,9.0,8.333333333333334,10.0,9,10.0,8.0,10.0,7.0,9.0,11.0,10.0,10.0,18.0,13.0,13.0,10.0,10.0,19,14.0
2022_09_21,15.0,15.0,11.0,14.0,15.0,9.0,14.0,20.0,17.0,14.0,15.0,26.0,17.0,14.0,10,23,22.0,12,10,16.0,11.0,10.0,10.0,12,39.0,17.0,13.0,6.0,8.0,13,10.0,13.0,18.0,15.0,9.0,13.0,9,13.0,11,15.0,7.0,7.0,18.0,18,18.0,14.0,12.0,16.0,19.0,13.0,12.0,13.0,21.0,5,13.0,8,13.0,5.0,5.0,9.0,10.0,7.0,12.0,4,20.0,8.0,8.0,9.666666666666666,8.666666666666666,8.0,9,14.0,7.0,9.0,7.0,9.0,11.0,12.0,10.0,16.0,15.0,14.0,10.0,11.0,15,11.0
2022_09_22,19.0,21.0,16.0,15.0,19.0,11.0,16.0,23.0,21.8,16.0,19.0,30.0,21.0,18.0,12,24,21.0,15,10,21.0,16.0,10.0,10.0,12,36.0,20.0,14.0,6.0,9.0,12,12.0,15.0,21.0,17.0,10.666666666666666,11.0,5,11.0,10,8.0,5.0,7.0,15.0,12,12.0,12.0,9.0,12.0,15.0,10.0,14.0,18.0,18.0,7,15.0,11,14.0,8.0,7.0,11.0,10.0,11.0,15.0,6,21.0,12.0,12.0,11.333333333333334,9.0,11.0,10,19.0,6.0,7.0,7.0,9.0,12.0,11.0,9.0,14.0,13.0,13.0,8.0,8.0,16,9.0
2022_09_23,23.0,25.0,21.0,22.0,25.0,15.0,18.0,29.0,31.0,22.0,23.0,40.0,26.0,21.0,18,32,28.0,19,15,16.0,20.0,19.0,11.0,13,34.0,19.0,11.0,7.0,8.0,10,11.0,8.0,17.0,13.0,11.333333333333334,9.0,5,8.0,6,8.0,4.0,6.0,16.0,22,18.0,16.0,13.0,16.0,17.0,13.0,17.0,10.0,19.0,4,14.0,10,13.0,6.0,6.0,10.0,7.0,7.0,13.0,7,20.0,8.0,10.0,8.0,8.0,8.0,7,8.0,6.0,5.0,6.0,8.0,9.0,11.0,9.0,16.0,12.0,13.0,9.0,8.0,17,12.0
2022_09_24,21.0,22.0,18.0,18.0,21.0,13.0,17.0,25.0,26.0,17.0,20.0,38.0,23.0,15.0,14,25,22.0,17,13,20.0,16.0,16.0,10.0,11,34.0,18.0,14.0,6.0,9.0,9,12.0,11.0,15.0,16.0,6.0,7.0,7,6.0,6,6.0,5.0,5.0,11.0,19,14.0,14.0,10.0,14.0,16.0,12.0,17.0,9.0,16.0,3,11.0,7,12.0,5.0,5.0,9.0,9.0,9.0,14.0,6,19.0,12.0,7.0,8.0,6.0,6.0,7,10.0,5.0,6.0,5.0,8.0,9.0,9.0,10.0,15.0,13.0,13.0,9.0,7.0,13,10.0
2022_09_25,19.0,18.0,15.0,18.0,16.0,12.0,16.0,22.0,20.0,15.0,17.0,36.0,17.0,11.0,10,22,18.0,16,11,13.0,13.0,11.0,12.0,10,22.0,10.0,14.0,5.0,9.0,8,9.0,7.0,25.666666666666668,18.0,3.0,5.0,5,6.0,4,3.0,7.0,5.0,14.0,16,14.0,12.0,11.0,14.0,15.666666666666666,10.0,9.0,6.0,13.0,5,9.0,6,11.0,5.0,5.0,9.0,6.0,13.0,15.0,7,20.0,11.0,7.0,16.0,9.0,7.0,5,8.0,5.0,4.0,6.0,7.0,7.0,9.0,14.0,17.0,13.0,13.0,9.0,10.0,13,11.0
2022_09_26,20.0,16.0,12.0,17.0,17.0,12.0,14.0,26.0,22.0,18.0,15.0,28.0,19.0,15.0,11,27,16.0,14,10,17.0,15.0,10.0,10.0,9,24.0,12.0,15.0,6.0,9.0,7,8.0,5.0,14.0,12.0,4.0,6.0,4,16.0,8,5.0,4.0,13.0,7.0,14,18.0,11.0,9.0,12.0,16.0,9.0,8.0,6.0,10.0,5,9.0,6,10.0,4.0,4.0,8.0,6.0,7.0,14.0,5,20.0,8.0,7.0,14.0,6.0,7.0,4,7.0,4.0,3.0,4.0,5.0,8.0,13.0,15.0,19.0,14.0,17.0,10.0,13.0,17,12.0
2022_09_27,20.0,18.0,14.0,22.0,18.0,11.0,15.0,25.0,24.0,18.0,17.0,26.0,21.0,12.0,14,28,22.0,14,10,23.0,20.2,9.0,12.0,10,33.0,13.0,16.0,6.0,8.0,9,12.0,6.0,24.0,15.0,11.0,18.0,19,35.0,20,13.0,10.0,27.0,14.0,18,21.0,15.0,10.0,15.0,15.666666666666666,10.0,9.0,8.0,19.0,5,11.0,7,11.0,5.0,5.0,8.0,7.0,11.0,15.0,6,21.0,13.0,8.0,14.333333333333334,9.0,6.0,8,9.0,6.0,6.0,6.0,10.0,9.0,11.0,10.0,21.0,16.0,13.0,10.0,14.0,16,14.0
2022_09_28,15.0,14.0,9.0,16.0,13.0,7.0,13.0,17.0,17.0,13.0,11.0,17.0,16.0,14.0,10,23,23.0,10,8,16.0,27.2,5.0,8.0,9,26.0,13.0,13.0,6.0,8.0,6,11.0,12.0,27.0,14.0,17.0,23.0,14,20.0,19,19.0,8.0,18.0,12.0,14,15.0,14.0,11.0,12.0,20.333333333333332,8.0,15.0,10.0,14.0,5,18.0,12,15.0,8.0,8.0,13.0,9.0,15.0,19.0,8,26.0,19.0,14.0,15.333333333333334,17.0,10.0,17,13.0,6.0,11.0,13.0,15.0,10.0,9.0,10.0,11.0,12.0,12.0,8.0,5.0,14,8.0
2022_09_29,16.0,17.0,12.0,14.0,13.0,9.0,13.0,20.0,18.0,13.0,12.0,20.0,17.0,12.0,11,18,18.0,11,10,20.0,17.0,5.0,9.0,7,14.0,9.0,13.0,5.0,7.0,6,5.0,5.0,15.0,13.0,13.0,9.0,5,5.0,4,8.0,4.0,6.0,7.0,10,13.0,11.0,10.0,11.0,17.666666666666668,7.0,9.0,7.0,14.0,5,22.0,19,21.0,14.0,14.0,17.0,10.0,21.0,22.0,12,24.0,17.0,17.0,18.333333333333332,20.0,8.0,18,19.0,9.0,11.0,16.0,12.0,9.0,6.0,9.0,13.0,11.0,12.0,8.0,6.0,9,9.0
2022_09_30,14.0,12.0,10.0,14.0,14.0,6.0,13.0,20.0,16.0,10.0,9.0,18.0,15.0,11.0,10,16,14.0,11,12,24.0,7.0,11.0,8.0,8,19.0,11.0,15.0,6.0,6.0,5,10.0,7.0,13.0,11.0,4.0,4.0,5,6.0,3,3.0,5.0,6.0,9.0,11,12.0,13.0,9.0,11.0,19.666666666666668,6.0,9.0,8.0,14.0,4,18.0,14,14.0,7.0,7.0,11.0,7.0,16.0,21.0,10,19.0,8.0,13.0,17.0,12.0,7.0,9,9.0,5.0,5.0,6.0,6.0,8.0,8.0,12.0,12.0,11.0,10.0,8.0,7.0,11,11.0
2022_10_01,12.0,11.0,9.0,16.0,15.0,8.0,13.0,20.0,16.0,10.0,9.0,18.0,14.0,11.0,8,18,15.0,10,10,20.0,7.0,17.0,8.0,10,24.0,10.0,17.0,6.0,7.0,7,10.0,8.0,32.5,12.0,5.0,6.0,6,7.0,5,5.0,4.0,6.0,10.0,10,12.0,11.0,10.0,13.0,14.666666666666666,8.0,10.0,6.0,15.0,4,9.0,7,9.0,4.0,4.0,7.0,9.0,8.0,10.0,6,17.0,6.0,7.0,15.666666666666666,5.0,5.0,10,9.0,6.0,7.0,6.0,10.0,10.0,9.0,10.0,12.0,11.0,10.0,6.0,6.0,9,9.0
2022_10_02,17.0,18.0,11.0,16.0,17.0,9.0,14.0,21.0,22.0,16.0,13.0,29.0,18.0,15.0,12,24,20.0,11,9,12.0,15.0,9.0,12.0,10,22.0,14.0,16.0,7.0,7.0,11,10.0,5.0,31.25,13.0,20.666666666666668,5.0,6,6.0,6,4.0,4.0,7.0,10.0,16,15.0,12.0,8.0,15.0,15.0,11.0,9.0,7.0,15.0,5,9.0,6,10.0,5.0,5.0,8.0,10.0,5.0,9.0,5,18.0,6.0,6.0,14.666666666666666,6.0,8.0,10,6.0,5.0,7.0,4.0,7.0,10.0,9.0,15.0,14.0,12.0,13.0,8.0,8.0,13,8.0
2022_10_03,18.0,15.0,8.0,9.0,16.0,8.0,13.0,19.0,20.0,15.0,10.0,28.0,18.0,14.0,12,21,17.0,11,9,13.0,13.0,6.0,9.0,8,29.0,12.0,13.0,6.0,6.0,7,9.0,5.0,31.25,9.0,20.0,8.0,5,10.0,6,5.0,3.0,7.0,12.0,14,13.0,11.0,9.0,14.0,16.666666666666668,10.0,8.0,6.0,8.0,5,10.0,6,10.0,5.0,4.0,8.0,6.0,6.0,8.0,5,18.0,7.0,7.0,15.333333333333334,7.0,6.0,7,8.0,5.0,6.0,5.0,8.0,8.0,12.0,11.0,13.0,11.0,12.0,9.0,8.0,11,11.0
2022_10_04,19.0,18.0,11.0,13.0,17.0,8.0,14.0,21.0,19.0,16.0,14.0,26.0,19.0,18.0,11,23,18.0,11,8,18.0,15.0,8.0,11.0,9,38.0,16.0,16.0,6.0,9.0,8,10.0,5.0,31.25,12.0,19.0,9.0,8,13.0,7,7.0,6.0,11.0,9.0,13,16.0,11.0,7.0,10.0,14.333333333333334,9.0,6.0,6.0,10.0,4,9.0,6,10.0,5.0,5.0,8.0,7.0,5.0,10.0,5,20.0,7.0,7.0,15.333333333333334,6.0,7.0,7,8.0,5.0,6.0,5.0,8.0,8.0,9.0,9.0,10.0,12.0,11.0,9.0,9.0,10,10.0
2022_10_05,24.0,23.0,16.0,16.0,19.0,14.0,17.0,26.0,25.0,22.5,23.0,39.0,24.0,23.0,15,31,24.0,17,15,23.0,23.0,11.0,14.0,12,34.0,14.0,17.0,6.0,12.0,8,13.0,5.0,29.75,15.0,17.666666666666668,9.0,6,11.0,8,8.0,6.0,10.0,14.0,18,16.0,14.0,11.0,14.0,17.0,13.0,8.0,9.0,14.0,5,12.0,7,12.0,5.0,5.0,9.0,8.0,7.0,14.0,5,19.0,7.0,8.0,11.0,7.0,8.0,8,10.0,5.0,7.0,6.0,9.0,12.0,9.0,9.0,10.0,10.0,11.0,8.0,10.0,14,8.0
2022_10_06,24.0,24.0,17.0,20.0,24.0,15.0,16.0,28.0,27.0,24.75,21.0,34.0,27.0,22.0,17,31,23.0,19,15,24.0,22.0,13.0,14.0,12,32.0,15.0,17.0,7.0,11.0,12,13.0,5.0,28.25,13.0,16.666666666666668,9.0,6,12.0,8,8.0,4.0,10.0,11.0,13,16.0,11.0,10.0,14.0,16.666666666666668,13.0,9.0,7.0,11.0,5,14.0,10,13.0,6.0,6.0,10.0,9.0,10.0,13.0,6,19.0,9.0,12.0,12.0,9.0,9.0,8,9.0,5.0,8.0,6.0,8.0,11.0,8.0,14.0,10.0,9.0,12.0,8.0,10.0,12,10.0
2022_10_07,16.0,15.0,9.0,12.0,16.0,9.0,14.0,19.0,18.0,13.0,16.0,27.0,18.0,18.0,10,23,16.0,14,10,14.0,15.0,8.0,11.0,10,25.0,14.0,20.0,7.0,13.0,9,12.0,6.0,29.25,13.0,18.666666666666668,12.0,7,11.0,8,9.0,6.0,9.0,9.0,16,19.0,11.0,7.0,12.0,15.333333333333334,14.0,8.0,5.0,11.0,5,14.0,12,14.0,5.0,5.0,10.0,7.0,10.0,13.0,7,19.0,7.0,12.0,12.0,9.0,12.0,7,9.0,5.0,8.0,6.0,8.0,10.0,8.0,9.0,16.0,13.0,12.0,6.0,9.0,10,9.0
2022_10_08,17.0,16.0,9.0,12.0,19.333333333333332,9.0,14.0,20.0,18.0,12.0,16.0,25.0,18.0,17.0,11,23,16.0,12,9,15.0,21.0,10.0,15.0,14,26.0,15.0,20.0,7.0,12.0,8,13.0,4.0,32.0,14.0,18.333333333333332,14.0,8,9.0,6,9.0,6.0,9.0,8.0,19,17.0,17.0,13.0,14.0,15.0,12.25,8.0,6.0,10.0,5,13.0,9,10.0,7.0,7.0,10.0,7.0,9.0,9.0,6,19.0,7.0,9.0,15.333333333333334,9.0,9.0,8,8.0,6.0,5.0,6.0,9.0,9.0,9.0,9.0,13.0,10.0,11.0,7.0,9.0,15,10.0
2022_10_09,12.0,13.0,7.0,12.0,14.0,8.0,12.0,15.0,16.0,9.0,13.0,20.0,13.0,11.0,7,17,14.0,9,9,12.0,15.0,7.0,10.0,11,23.0,14.0,16.0,6.0,9.0,7,10.0,5.0,29.5,15.0,17.333333333333332,8.0,6,8.0,7,10.0,6.0,8.0,11.0,22,26.0,24.0,16.0,10.0,13.0,11.25,9.0,5.0,11.0,4,13.0,9,11.0,5.0,5.0,10.0,9.0,10.0,13.0,5,19.0,9.0,9.0,16.0,11.0,9.0,8,9.0,7.0,7.0,6.0,9.0,10.0,11.0,13.0,14.0,10.0,10.0,7.0,9.0,13,8.0
2022_10_10,14.0,12.0,7.0,10.0,17.0,5.0,13.0,16.0,15.0,11.0,11.0,20.0,14.0,15.0,7,18,13.0,10,9,11.0,12.0,5.0,8.0,8,21.0,10.0,14.0,6.0,6.0,6,7.0,7.0,26.0,12.0,15.333333333333334,10.0,8,10.0,5,7.0,6.0,8.0,8.0,16,13.0,11.0,12.0,11.0,15.666666666666666,15.75,6.0,6.0,9.0,5,12.0,8,11.0,6.0,10.0,9.0,6.0,8.0,13.0,6,17.0,7.0,10.0,14.333333333333334,7.0,8.0,8,8.0,6.0,6.0,6.0,8.0,7.0,7.0,11.0,14.0,11.0,12.0,9.0,8.0,13,9.0
2022_10_11,20.0,19.0,11.0,10.0,17.333333333333332,10.0,14.0,22.0,22.0,18.0,15.0,26.0,22.0,15.0,13,25,19.0,12,10,16.0,13.0,9.0,10.0,12,24.0,17.0,14.0,6.0,6.0,10,10.0,6.0,21.75,14.0,13.0,15.0,16,19.0,11,9.0,13.0,17.0,7.0,11,14.0,11.0,8.0,13.0,16.0,15.5,8.0,9.0,12.0,5,13.0,8,12.0,6.0,6.0,10.0,10.0,8.0,12.0,5,20.0,9.0,9.0,12.0,9.0,7.0,12,11.0,6.0,8.0,7.0,10.0,11.0,7.0,9.0,14.0,12.0,13.0,10.0,11.0,13,11.0
2022_10_12,29.0,28.0,19.0,23.0,19.333333333333332,18.0,18.0,36.0,32.0,29.0,25.0,35.0,29.0,23.0,23,35,28.0,22,21,29.0,29.0,18.0,18.0,17,32.0,23.0,22.0,8.0,16.0,17,20.0,13.0,26.0,20.0,13.666666666666666,23.0,17,21.0,18,16.0,16.0,18.0,10.0,21,20.0,21.0,17.0,19.2,15.333333333333334,14.0,16.5,16.0,18.0,11,17.0,15,13.0,8.0,8.0,12.0,17.0,11.0,15.0,8,22.0,10.0,14.0,11.0,11.0,15.0,17,14.0,10.0,14.0,11.0,14.0,17.0,9.0,9.0,10.0,9.0,11.0,8.0,11.0,9,12.0
2022_10_13,29.0,24.0,19.0,17.0,25.0,18.0,18.0,30.0,28.0,27.0,26.0,34.0,28.0,23.0,21,31,26.0,25,24,27.0,29.0,21.0,25.0,20,35.0,25.0,25.0,11.0,19.0,22,22.0,16.0,25.0,27.0,13.666666666666666,26.0,25,29.0,27,20.0,23.0,27.0,14.0,23,15.0,21.0,16.0,18.0,11.666666666666666,12.0,11.333333333333334,18.0,24.0,13,18.0,14,17.0,10.0,10.0,13.0,18.0,14.0,18.0,8,22.0,11.0,15.0,11.333333333333334,11.0,14.0,19,13.0,10.0,15.0,13.0,16.0,18.0,11.0,10.0,14.0,14.0,14.0,10.0,13.0,9,14.0
2022_10_14,34.0,30.0,25.0,26.0,28.0,22.0,22.0,35.0,34.0,30.0,29.0,36.0,33.0,27.0,26,37,32.0,31,29,33.0,35.0,28.0,27.0,25,39.0,26.0,32.0,13.0,26.0,26,29.0,22.0,21.25,37.0,14.333333333333334,32.0,37,37.0,28,24.0,38.0,37.0,22.0,29,21.0,27.0,20.0,15.6,13.0,11.5,28.0,29.0,32.0,17,18.0,16,16.0,10.0,9.0,14.0,21.0,15.0,16.0,8,24.0,15.0,13.0,12.0,14.0,14.0,23,17.0,12.0,18.0,13.0,21.0,23.0,12.0,8.0,15.0,11.0,12.0,7.0,8.0,12,12.0
2022_10_15,32.0,32.0,26.0,28.0,32.0,21.0,22.0,33.0,35.0,28.0,28.0,36.0,34.0,29.0,24,36,31.0,27,26,29.0,29.0,25.0,29.0,23,32.0,22.0,34.0,12.0,25.0,27,21.0,24.0,20.75,29.0,13.333333333333334,35.0,32,33.0,27,25.0,24.0,27.0,23.0,27,26.0,26.0,25.0,14.6,13.666666666666666,12.5,26.0,21.0,29.0,20,19.0,15,19.0,12.0,13.0,15.0,19.0,20.0,21.0,10,26.0,18.0,16.0,16.0,18.0,14.0,22,22.0,11.0,13.0,15.0,21.0,22.0,11.0,6.0,14.0,10.0,10.0,7.0,6.0,14,11.0
